序号,箱号,类别模块,产品名称,教育目标与功能描述,核心能力标签
16,13,认知拓展,按压套件,按下开关灯就亮。让孩子熟练打开各种开关，练手指按压的力气，帮他们搞懂“按了就会亮”的因果。,按压力量、因果关系
17,14,认知拓展,旋转套件,拨动指针转圈圈。锻炼手腕灵活度，教孩子认表盘上的数字，初步建立几点该干嘛的时间观念。,时间概念、手腕旋转
18,15,生活技能实操,切菜套件,拿玩具刀切开蔬菜。练手部向下压的力气和左右手配合，提前熟悉厨房切菜动作，玩过家家最合适。,切割控制、生活认知
19,16,生活技能实操,榨汁套件,模拟把水果放进榨汁机按压榨汁。教孩子认识厨房电器怎么用，明白放进水果出果汁的因果关系。,机器操作、生活模拟
20,17,生活技能实操,勺套件,用勺子把小物件舀起来。练手腕翻转和端平的能力，专治拿不稳勺子，为孩子以后自己大口吃饭打基础。,舀取动作、独立进食
21,18,自理支持,洗手5件套,照着墙贴图卡学七步洗手法。用视觉提示帮孩子记住洗手顺序，养成饭前便后自己主动洗手的好习惯。,洗手流程、视觉提示
22,19,生活技能实操,削动作套件,拿着工具模拟给瓜果削皮。练两手高度配合和力度把控，提前教厨房安全常识，为生活自理做准备。,削皮动作、安全意识
23,20,生活技能实操,清理桌面4套件,拿抹布和刷子清扫桌面。教孩子吃完饭或画完画后自己收拾烂摊子，培养讲卫生和做事负责的态度。,桌面清洁、责任意识
24,21,认知拓展,黑板套装,在黑板上自由涂鸦或贴磁铁。帮孩子练正确的握笔姿势，发泄多余精力，还能边画边认识动物字母。,握笔书写、手眼协调
25,22,认知拓展,涂鸦套件,在可擦写的本子上随便画。练控笔能力，让不爱拿笔的孩子也愿意动手涂鸦，把心里想的画出来。,绘画启蒙、控笔训练
26,23,认知拓展,印刷套件,捏着印章使劲盖在纸上。这种按压动作很练手劲，边玩边认识二十六个英文字母，比死记硬背管用。,字母认知、按压力量
27,24,认知拓展,绘画套件,用油画棒等不同画笔涂色。认识各种漂亮颜色，练手指精细控制不涂出格子，激发孩子的艺术细胞。,色彩认知、精细控笔
28,25,生活技能实操,种植套件,拿小铲子挖土浇水种花。让孩子动手照顾植物，练手部精细动作，还能培养做事有头有尾的责任心。,园艺动作、责任培养
29,23,认知拓展,调色套件,用滴管捏水玩混色小实验。练习两根手指捏滴管的巧劲，看看颜色怎么变魔术，激发好奇心和探索欲。,色彩混合、滴管捏取
30,26,认知拓展,磁铁套件,把水果从带有磁力的果树上摘下。让孩子感受磁力的神奇，练习手眼瞄准，还能顺便数一数摘了几个苹果。,磁力认知、点数启蒙
31,27,认知拓展,沉浮套件,把东西扔进水里看是沉还是浮。教孩子仔细观察并说出看到了什么，学着按沉浮状态把东西分好类。,沉浮实验、观察分类
32,28,认知拓展,拆布套件,撕开扯下布书上的机关，按捏小公仔听响声。用好玩的反馈吸引孩子专心抠挖，练手指小肌肉爆发力。,撕扯力量、感官反馈
33,28,生活技能实操,折布套件,练习把衣服对折叠整齐。专门教孩子自己的衣服自己叠，练双手对称配合动作，养成爱收拾的好习惯。,叠衣技能、双手对称
34,28,生活技能实操,缝纫套件,拿钝针穿过小孔缝纽扣。极其考验眼力和手腕微调能力，培养坐得住的静定力，学会缝补小技能。,穿针引线、极度专注
35,29,自理支持,梳头套件,拿梳子梳头、举着吹风机吹头发。教孩子打理自己的仪容仪表，不再抗拒剪头洗头，学会爱护自己。,仪容整理、精细操作
36,30,自理支持,刷牙套件,握着牙刷在牙齿模型上上下下刷。教孩子搞懂怎么刷才干净，解决不爱刷牙的毛病，保护好小牙齿。,刷牙技能、口腔卫生
37,31,认知拓展,插花套件,把花朵一片片对准孔眼插紧。练指尖对准和发力，顺便认识花朵颜色和形状，拼出漂亮小花园。,拼插精细、形状认知
38,32,生活技能实操,擦镜子4套件,拿着喷壶喷水，再用布把镜子擦亮。练按压喷水的手劲和大臂挥动，教孩子主动分担家里的大扫除。,清洁技能、双手协调
39,33,生活技能实操,擦亮4件套（4组）,认识刷子海绵等清洁工具怎么用。用力擦洗污渍能很好地发泄情绪，同时让孩子养成爱干净的习惯。,清洁认知、发力擦洗
40,34,生活技能实操,转移水套件（3组）,把水从这个杯子稳稳倒进那个杯子。让着孩子眼睛盯紧、手腕端平不洒水，以后自己倒开水就不怕烫。,倒水控制、极度专注
41,35,认知拓展,倒动作套件（3组）,倒下小滚珠，盯着它在轨道里滚。练手部抓握和倾倒动作，专门训练孩子的眼神能长时间跟着目标走。,倾倒抓握、视觉追踪
42,36,生活技能实操,切动作套件（2组）,用刀切开带磁吸的蛋糕水果。切开的阻力感很真实，练双手配合，还能玩过分蛋糕水果的小游戏。,切割力度、假装游戏
43,37,生活技能实操,扫地套件,拿扫把把垃圾扫进簸箕里。需要两手配合和腰部弯曲，教孩子做家务，培养自己弄脏自己扫的意识。,扫地技能、大肌肉群
44,38,生活技能实操,切板套件,在专用切板上稳稳地切东西。教孩子左手按住食物、右手拿刀的安全切菜法，提前搞懂厨房怎么干活。,砧板使用、双手配合
45,39,生活技能实操,切鸡蛋套件,把仿真鸡蛋放好，用切蛋器用力压下去。这个向下的按压动作很解压，教孩子认识一种新的厨房小工具。,按压切割、生活常识
46,40,生活技能实操,敲打套件,拿锤子看准木桩用力敲下去。不仅练胳膊的力气和手眼瞄准，更是孩子发脾气时最好的安全发泄工具。,敲击发力、情绪宣泄
