分类,分类名称,箱号,序号,产品名称,resourceCode,图片文件名,图片存放路径
emotional-regulation,情绪调节,20,27,"情绪解压组-惨叫鸡",emotional-regulation-box20-seq027-c,emotional-regulation-box20-seq027-c.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box20-seq027-c.webp
emotional-regulation,情绪调节,20,27,"情绪解压组-发光兔子",emotional-regulation-box20-seq027-d,emotional-regulation-box20-seq027-d.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box20-seq027-d.webp
emotional-regulation,情绪调节,21,28,"可流动情绪释放组",emotional-regulation-box21-seq028,emotional-regulation-box21-seq028.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box21-seq028.webp
emotional-regulation,情绪调节,21,29,"行为疏导支持教具",emotional-regulation-box21-seq029,emotional-regulation-box21-seq029.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box21-seq029.webp
emotional-regulation,情绪调节,22,30,"敲击式情绪宣泄板",emotional-regulation-box22-seq030,emotional-regulation-box22-seq030.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box22-seq030.webp
emotional-regulation,情绪调节,23,31,"呐喊消音教具",emotional-regulation-box23-seq031,emotional-regulation-box23-seq031.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box23-seq031.webp
emotional-regulation,情绪调节,23,32,"发声解压垫",emotional-regulation-box23-seq032,emotional-regulation-box23-seq032.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box23-seq032.webp
emotional-regulation,情绪调节,24,33,"多感协同情绪稳定组",emotional-regulation-box24-seq033,emotional-regulation-box24-seq033.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box24-seq033.webp
emotional-regulation,情绪调节,25,34,"绘画套装-迷你绘画本",emotional-regulation-box25-seq034,emotional-regulation-box25-seq034.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box25-seq034.webp
emotional-regulation,情绪调节,25,34,"绘画套装-信笔涂鸦本",emotional-regulation-box25-seq034-a,emotional-regulation-box25-seq034-a.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box25-seq034-a.webp
emotional-regulation,情绪调节,26,35,"翻转情绪调节组",emotional-regulation-box26-seq035,emotional-regulation-box26-seq035.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box26-seq035.webp
emotional-regulation,情绪调节,27,36,"趣味故事组-小布书手套",emotional-regulation-box27-seq036,emotional-regulation-box27-seq036.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box27-seq036.webp
emotional-regulation,情绪调节,27,36,"趣味故事组-立体机关书",emotional-regulation-box27-seq036-a,emotional-regulation-box27-seq036-a.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box27-seq036-a.webp
emotional-regulation,情绪调节,28,37,"触觉平衡调节套件",emotional-regulation-box28-seq037,emotional-regulation-box28-seq037.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box28-seq037.webp
emotional-regulation,情绪调节,29,38,"安静工具箱",emotional-regulation-box29-seq038,emotional-regulation-box29-seq038.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box29-seq038.webp
emotional-regulation,情绪调节,30,39,"推理能力引导工具组",emotional-regulation-box30-seq039,emotional-regulation-box30-seq039.webp,src/assets/images/physical-equipment/emotional-regulation/emotional-regulation-box30-seq039.webp
social-communication,社交沟通,1,1,"视觉诱导-光纤棒",social-communication-box01-seq001,social-communication-box01-seq001.webp,src/assets/images/physical-equipment/social-communication/social-communication-box01-seq001.webp
social-communication,社交沟通,1,2,"视觉诱导-多彩球",social-communication-box01-seq002,social-communication-box01-seq002.webp,src/assets/images/physical-equipment/social-communication/social-communication-box01-seq002.webp
social-communication,社交沟通,2,3,"感官调节-耳罩",social-communication-box02-seq003,social-communication-box02-seq003.webp,src/assets/images/physical-equipment/social-communication/social-communication-box02-seq003.webp
social-communication,社交沟通,2,4,"感官调节-冷静瓶",social-communication-box02-seq004,social-communication-box02-seq004.webp,src/assets/images/physical-equipment/social-communication/social-communication-box02-seq004.webp
social-communication,社交沟通,3,5,"情绪认知-触觉解压球",social-communication-box03-seq005,social-communication-box03-seq005.webp,src/assets/images/physical-equipment/social-communication/social-communication-box03-seq005.webp
social-communication,社交沟通,3,6,"情绪认知-木质互动组",social-communication-box03-seq006,social-communication-box03-seq006.webp,src/assets/images/physical-equipment/social-communication/social-communication-box03-seq006.webp
social-communication,社交沟通,3,7,"情绪认知-悦知互动组",social-communication-box03-seq007,social-communication-box03-seq007.webp,src/assets/images/physical-equipment/social-communication/social-communication-box03-seq007.webp
social-communication,社交沟通,4,8,"基础沟通-主动沟通卡",social-communication-box04-seq008,social-communication-box04-seq008.webp,src/assets/images/physical-equipment/social-communication/social-communication-box04-seq008.webp
social-communication,社交沟通,4,9,"基础沟通-社交沟通场景组合",social-communication-box04-seq009,social-communication-box04-seq009.webp,src/assets/images/physical-equipment/social-communication/social-communication-box04-seq009.webp
social-communication,社交沟通,5,10,"肢体模仿-协作器",social-communication-box05-seq010,social-communication-box05-seq010.webp,src/assets/images/physical-equipment/social-communication/social-communication-box05-seq010.webp
social-communication,社交沟通,5,11,"肢体模仿-趣动组合套",social-communication-box05-seq011,social-communication-box05-seq011.webp,src/assets/images/physical-equipment/social-communication/social-communication-box05-seq011.webp
social-communication,社交沟通,5,12,"肢体模仿-指引卡",social-communication-box05-seq012,social-communication-box05-seq012.webp,src/assets/images/physical-equipment/social-communication/social-communication-box05-seq012.webp
social-communication,社交沟通,6,13,"规则建立-互动灯",social-communication-box06-seq013,social-communication-box06-seq013.webp,src/assets/images/physical-equipment/social-communication/social-communication-box06-seq013.webp
social-communication,社交沟通,6,14,"规则建立-强化收纳罐",social-communication-box06-seq014,social-communication-box06-seq014.webp,src/assets/images/physical-equipment/social-communication/social-communication-box06-seq014.webp
social-communication,社交沟通,7,15,"规则建立-身体语言组合卡",social-communication-box07-seq015,social-communication-box07-seq015.webp,src/assets/images/physical-equipment/social-communication/social-communication-box07-seq015.webp
social-communication,社交沟通,7,16,"规则建立-声音标尺",social-communication-box07-seq016,social-communication-box07-seq016.webp,src/assets/images/physical-equipment/social-communication/social-communication-box07-seq016.webp
social-communication,社交沟通,8,17,"肢体互动-形言互动教具",social-communication-box08-seq017,social-communication-box08-seq017.webp,src/assets/images/physical-equipment/social-communication/social-communication-box08-seq017.webp
social-communication,社交沟通,9,18,"肢体互动-稳取平衡组",social-communication-box09-seq018,social-communication-box09-seq018.webp,src/assets/images/physical-equipment/social-communication/social-communication-box09-seq018.webp
social-communication,社交沟通,10,19,"肢体互动-植序插拼组",social-communication-box10-seq019,social-communication-box10-seq019.webp,src/assets/images/physical-equipment/social-communication/social-communication-box10-seq019.webp
social-communication,社交沟通,11,20,"策略游戏-速应协作游戏套",social-communication-box11-seq020,social-communication-box11-seq020.webp,src/assets/images/physical-equipment/social-communication/social-communication-box11-seq020.webp
social-communication,社交沟通,12,21,"策略游戏-追应互动游戏组",social-communication-box12-seq021,social-communication-box12-seq021.webp,src/assets/images/physical-equipment/social-communication/social-communication-box12-seq021.webp
social-communication,社交沟通,13,22,"策略游戏-棋盘组合",social-communication-box13-seq022,social-communication-box13-seq022.webp,src/assets/images/physical-equipment/social-communication/social-communication-box13-seq022.webp
social-communication,社交沟通,14,23,"精细博弈-织创桌面协作组",social-communication-box14-seq023,social-communication-box14-seq023.webp,src/assets/images/physical-equipment/social-communication/social-communication-box14-seq023.webp
social-communication,社交沟通,15,24,"精细博弈-叠叠高",social-communication-box15-seq024,social-communication-box15-seq024.webp,src/assets/images/physical-equipment/social-communication/social-communication-box15-seq024.webp
social-communication,社交沟通,16,25,"精细博弈-半圆平衡",social-communication-box16-seq025,social-communication-box16-seq025.webp,src/assets/images/physical-equipment/social-communication/social-communication-box16-seq025.webp
social-communication,社交沟通,17,26,"反应游戏-匹配游戏组",social-communication-box17-seq026,social-communication-box17-seq026.webp,src/assets/images/physical-equipment/social-communication/social-communication-box17-seq026.webp
social-communication,社交沟通,18,27,"反应游戏-数字沙包",social-communication-box18-seq027,social-communication-box18-seq027.webp,src/assets/images/physical-equipment/social-communication/social-communication-box18-seq027.webp
social-communication,社交沟通,19,28,"反应游戏-专注力训练组",social-communication-box19-seq028,social-communication-box19-seq028.webp,src/assets/images/physical-equipment/social-communication/social-communication-box19-seq028.webp
social-communication,社交沟通,20,29,"社交距离-传声筒",social-communication-box20-seq029,social-communication-box20-seq029.webp,src/assets/images/physical-equipment/social-communication/social-communication-box20-seq029.webp
social-communication,社交沟通,21,30,"社交距离-脚垫丈量",social-communication-box21-seq030,social-communication-box21-seq030.webp,src/assets/images/physical-equipment/social-communication/social-communication-box21-seq030.webp
social-communication,社交沟通,21,31,"时间管理-可视化计时器",social-communication-box21-seq031,social-communication-box21-seq031.webp,src/assets/images/physical-equipment/social-communication/social-communication-box21-seq031.webp
social-communication,社交沟通,22,32,"共同建构-协作创构积木组",social-communication-box22-seq032,social-communication-box22-seq032.webp,src/assets/images/physical-equipment/social-communication/social-communication-box22-seq032.webp
social-communication,社交沟通,23,33,"共同建构-互动桌游",social-communication-box23-seq033,social-communication-box23-seq033.webp,src/assets/images/physical-equipment/social-communication/social-communication-box23-seq033.webp
social-communication,社交沟通,24,34,"角色扮演-冰淇淋餐车",social-communication-box24-seq034,social-communication-box24-seq034.webp,src/assets/images/physical-equipment/social-communication/social-communication-box24-seq034.webp
social-communication,社交沟通,25,35,"角色扮演-家园",social-communication-box25-seq035,social-communication-box25-seq035.webp,src/assets/images/physical-equipment/social-communication/social-communication-box25-seq035.webp
social-communication,社交沟通,26,36,"竞争合作-趣食协作训练套",social-communication-box26-seq036,social-communication-box26-seq036.webp,src/assets/images/physical-equipment/social-communication/social-communication-box26-seq036.webp
social-communication,社交沟通,27,37,"竞争合作-认知互动教具",social-communication-box27-seq037,social-communication-box27-seq037.webp,src/assets/images/physical-equipment/social-communication/social-communication-box27-seq037.webp
social-communication,社交沟通,28,38,"肢体协作-集体协作绳具",social-communication-box28-seq038,social-communication-box28-seq038.webp,src/assets/images/physical-equipment/social-communication/social-communication-box28-seq038.webp
social-communication,社交沟通,28,39,"肢体协作-四人协作器",social-communication-box28-seq039,social-communication-box28-seq039.webp,src/assets/images/physical-equipment/social-communication/social-communication-box28-seq039.webp
social-communication,社交沟通,29,40,"心智解读-心理画像",social-communication-box29-seq040,social-communication-box29-seq040.webp,src/assets/images/physical-equipment/social-communication/social-communication-box29-seq040.webp
social-communication,社交沟通,29,41,"心智解读-归因推理",social-communication-box29-seq041,social-communication-box29-seq041.webp,src/assets/images/physical-equipment/social-communication/social-communication-box29-seq041.webp
social-communication,社交沟通,29,42,"心智解读-视觉阻断屏风",social-communication-box29-seq042,social-communication-box29-seq042.webp,src/assets/images/physical-equipment/social-communication/social-communication-box29-seq042.webp
social-communication,社交沟通,30,43,"心智解读-情绪认知教具",social-communication-box30-seq043,social-communication-box30-seq043.webp,src/assets/images/physical-equipment/social-communication/social-communication-box30-seq043.webp
social-communication,社交沟通,30,44,"心智解读-场景学习教具组",social-communication-box30-seq044,social-communication-box30-seq044.webp,src/assets/images/physical-equipment/social-communication/social-communication-box30-seq044.webp
social-communication,社交沟通,30,45,"情景模拟-生活主题教具组",social-communication-box30-seq045,social-communication-box30-seq045.webp,src/assets/images/physical-equipment/social-communication/social-communication-box30-seq045.webp
social-communication,社交沟通,31,46,"情景模拟-场景化学习教具组",social-communication-box31-seq046,social-communication-box31-seq046.webp,src/assets/images/physical-equipment/social-communication/social-communication-box31-seq046.webp
social-communication,社交沟通,32,47,"情景模拟-亲子互动场景教具组",social-communication-box32-seq047,social-communication-box32-seq047.webp,src/assets/images/physical-equipment/social-communication/social-communication-box32-seq047.webp
social-communication,社交沟通,33,48,"情景模拟-创作场景教具组",social-communication-box33-seq048,social-communication-box33-seq048.webp,src/assets/images/physical-equipment/social-communication/social-communication-box33-seq048.webp
social-communication,社交沟通,34,49,"情景模拟-进阶互动教具",social-communication-box34-seq049,social-communication-box34-seq049.webp,src/assets/images/physical-equipment/social-communication/social-communication-box34-seq049.webp
social-communication,社交沟通,34,50,"情景模拟-交流辅具",social-communication-box34-seq050,social-communication-box34-seq050.webp,src/assets/images/physical-equipment/social-communication/social-communication-box34-seq050.webp
fine-motor,精细动作,1,1,"多彩泥套件",fine-motor-box01-seq001,fine-motor-box01-seq001.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box01-seq001.webp
fine-motor,精细动作,1,2,"捏捏乐套件",fine-motor-box01-seq002,fine-motor-box01-seq002.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box01-seq002.webp
fine-motor,精细动作,2,3,"扭扭乐",fine-motor-box02-seq003,fine-motor-box02-seq003.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box02-seq003.webp
fine-motor,精细动作,2,4,"柔感粒按握盒",fine-motor-box02-seq004,fine-motor-box02-seq004.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box02-seq004.webp
fine-motor,精细动作,2,5,"流动感官调控板",fine-motor-box02-seq005,fine-motor-box02-seq005.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box02-seq005.webp
fine-motor,精细动作,3,6,"块趣叠萌盒",fine-motor-box03-seq006,fine-motor-box03-seq006.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box03-seq006.webp
fine-motor,精细动作,4,7,"钓鱼乐",fine-motor-box04-seq007,fine-motor-box04-seq007.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box04-seq007.webp
fine-motor,精细动作,5,8,"拼装拾取组",fine-motor-box05-seq008,fine-motor-box05-seq008.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box05-seq008.webp
fine-motor,精细动作,6,9,"晶彩搭组",fine-motor-box06-seq009,fine-motor-box06-seq009.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box06-seq009.webp
fine-motor,精细动作,7,10,"电子迷宫",fine-motor-box07-seq010,fine-motor-box07-seq010.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box07-seq010.webp
fine-motor,精细动作,7,11,"趣味闯关游戏组",fine-motor-box07-seq011,fine-motor-box07-seq011.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box07-seq011.webp
fine-motor,精细动作,8,12,"视觉追踪鱼",fine-motor-box08-seq012,fine-motor-box08-seq012.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box08-seq012.webp
fine-motor,精细动作,8,13,"彩虹叠叠乐",fine-motor-box08-seq013,fine-motor-box08-seq013.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box08-seq013.webp
fine-motor,精细动作,9,14,"萌趣小镇",fine-motor-box09-seq014,fine-motor-box09-seq014.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box09-seq014.webp
fine-motor,精细动作,3,15,"视觉追踪靶",fine-motor-box03-seq015,fine-motor-box03-seq015.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box03-seq015.webp
fine-motor,精细动作,10,16,"磁力画板",fine-motor-box10-seq016,fine-motor-box10-seq016.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box10-seq016.webp
fine-motor,精细动作,11,17,"拓扑球",fine-motor-box11-seq017,fine-motor-box11-seq017.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box11-seq017.webp
fine-motor,精细动作,11,18,"狡猾的鱼",fine-motor-box11-seq018,fine-motor-box11-seq018.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box11-seq018.webp
fine-motor,精细动作,12,19,"综合平衡游戏平台",fine-motor-box12-seq019,fine-motor-box12-seq019.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box12-seq019.webp
fine-motor,精细动作,13,20,"叠叠高",fine-motor-box13-seq020,fine-motor-box13-seq020.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box13-seq020.webp
fine-motor,精细动作,14,21,"协调反应训练器",fine-motor-box14-seq021,fine-motor-box14-seq021.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box14-seq021.webp
fine-motor,精细动作,14,22,"眼疾手快游戏组",fine-motor-box14-seq022,fine-motor-box14-seq022.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box14-seq022.webp
fine-motor,精细动作,15,23,"多功能操作台",fine-motor-box15-seq023,fine-motor-box15-seq023.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box15-seq023.webp
fine-motor,精细动作,16,24,"面条操作台",fine-motor-box16-seq024,fine-motor-box16-seq024.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box16-seq024.webp
fine-motor,精细动作,17,25,"逻辑工坊台",fine-motor-box17-seq025,fine-motor-box17-seq025.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box17-seq025.webp
fine-motor,精细动作,18,26,"指趣动作游戏",fine-motor-box18-seq026,fine-motor-box18-seq026.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box18-seq026.webp
fine-motor,精细动作,19,27,"电动百变齿轮游戏",fine-motor-box19-seq027,fine-motor-box19-seq027.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box19-seq027.webp
fine-motor,精细动作,20,28,"喂食游戏",fine-motor-box20-seq028,fine-motor-box20-seq028.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box20-seq028.webp
fine-motor,精细动作,21,29,"夹珠子游戏",fine-motor-box21-seq029,fine-motor-box21-seq029.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box21-seq029.webp
fine-motor,精细动作,22,30,"情景模拟-交流辅具",fine-motor-box22-seq030,fine-motor-box22-seq030.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box22-seq030.webp
fine-motor,精细动作,23,31,"生活操作板",fine-motor-box23-seq031,fine-motor-box23-seq031.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box23-seq031.webp
fine-motor,精细动作,24,32,"多彩女孩",fine-motor-box24-seq032,fine-motor-box24-seq032.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box24-seq032.webp
fine-motor,精细动作,25,33,"多彩瓢虫",fine-motor-box25-seq033,fine-motor-box25-seq033.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box25-seq033.webp
fine-motor,精细动作,26,34,"毛毛虫穿板",fine-motor-box26-seq034,fine-motor-box26-seq034.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box26-seq034.webp
fine-motor,精细动作,22,35,"声音标尺",fine-motor-box22-seq035,fine-motor-box22-seq035.webp,src/assets/images/physical-equipment/fine-motor/fine-motor-box22-seq035.webp
soothing-aids,安抚教具,1,1,"重力被",soothing-aids-box01-seq001,soothing-aids-box01-seq001.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box01-seq001.webp
soothing-aids,安抚教具,2,2,"重力毯",soothing-aids-box02-seq002,soothing-aids-box02-seq002.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box02-seq002.webp
soothing-aids,安抚教具,3,3,"重力肩带",soothing-aids-box03-seq003,soothing-aids-box03-seq003.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box03-seq003.webp
soothing-aids,安抚教具,4,4,"重力安抚熊",soothing-aids-box04-seq004,soothing-aids-box04-seq004.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box04-seq004.webp
soothing-aids,安抚教具,5,5,"包裹袜",soothing-aids-box05-seq005,soothing-aids-box05-seq005.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box05-seq005.webp
soothing-aids,安抚教具,6,6,"振动感官安抚拥抱枕",soothing-aids-box06-seq006,soothing-aids-box06-seq006.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box06-seq006.webp
soothing-aids,安抚教具,7,7,"感官安抚狗",soothing-aids-box07-seq007,soothing-aids-box07-seq007.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box07-seq007.webp
soothing-aids,安抚教具,8,8,"耳塞",soothing-aids-box08-seq008,soothing-aids-box08-seq008.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box08-seq008.webp
soothing-aids,安抚教具,8,9,"耳罩",soothing-aids-box08-seq009,soothing-aids-box08-seq009.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box08-seq009.webp
soothing-aids,安抚教具,9,10,"感官椅",soothing-aids-box09-seq010,soothing-aids-box09-seq010.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box09-seq010.webp
soothing-aids,安抚教具,10,11,"拉伸带",soothing-aids-box10-seq011,soothing-aids-box10-seq011.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box10-seq011.webp
soothing-aids,安抚教具,10,12,"流动感官调控板",soothing-aids-box10-seq012,soothing-aids-box10-seq012.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box10-seq012.webp
soothing-aids,安抚教具,11,13,"动态光影灯",soothing-aids-box11-seq013,soothing-aids-box11-seq013.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box11-seq013.webp
soothing-aids,安抚教具,12,14,"感官气泡管",soothing-aids-box12-seq014,soothing-aids-box12-seq014.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box12-seq014.webp
soothing-aids,安抚教具,13,15,"龙卷风灯",soothing-aids-box13-seq015,soothing-aids-box13-seq015.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box13-seq015.webp
soothing-aids,安抚教具,13,16,"律动灯",soothing-aids-box13-seq016,soothing-aids-box13-seq016.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box13-seq016.webp
soothing-aids,安抚教具,13,17,"动态烟火灯",soothing-aids-box13-seq017,soothing-aids-box13-seq017.webp,src/assets/images/physical-equipment/soothing-aids/soothing-aids-box13-seq017.webp
