序号,箱号,类别模块,产品名称,教育目标与功能描述,能力标签
16,1,触觉材料套装,立体构型组,既能指尖旋转又能按压，手感特别丰富。坐不住的孩子玩着它，就能安静下来不乱动了。,视觉触觉、缓解多动
17,1,触觉材料套装,彩色连环感知组,不停地翻折这个方块，图案一直在变。孩子为了看新图案会一直动手，明白动手才有变化。,因果关系、视觉追踪
18,1,触觉材料套装,多触点旋转组,朝着不同方向拧这个方块，手指得灵活才行。能帮孩子分清上下左右，锻炼空间方向感。,指尖精细、空间感知
19,2,触觉材料套装,桌游互动包,手伸进袋子里摸一摸，猜猜是什么形状。这能锻炼孩子只靠手感记东西，并试着说出来。,触觉记忆、形状认知
20,2,触觉材料套装,触摸本,跟着书本去摸不同的东西，一边摸一边学“软的、硬的”这些词，让孩子能说出感觉。,感官认知、词汇建立
21,3,触觉材料套装,多材质纹理感知组,光脚踩在不同纹理的垫子上，像探险一样。既能帮敏感的孩子适应触觉，又能练习走稳路。,触觉脱敏、动态平衡
22,4,触觉材料套装,立体形态感知组,手按在针板上印出手印，冰冰凉凉的很舒服。能控制孩子按压的力度，还能看到立体形状。,触觉反馈、精细控制
23,5,触觉材料套装,重力安抚器,有分量的小熊抱在怀里，就像妈妈的拥抱。孩子哭闹或者睡不着时抱着它，很快就安心了。,深压安抚、情绪调节
24,6,触觉材料套装,加权安抚感知组,比普通玩偶重很多的狐狸，压在腿上特别踏实。受惊吓或者感官超载时，它是最好的陪伴。,深压输入、安全感
25,7,触觉材料套装,全身压力输入感官组,钻进这个弹力袋子里，全身被紧紧包裹着。这种挤压感能让崩溃大哭的孩子瞬间找回安全感。,全身深压、情绪调节
26,7,触觉材料套装,振动热敷感知组,挂在脖子上会有轻微震动，像按摩一样舒服。考试紧张或者害怕时用它，身体马上就放松了。,震动反馈、身体放松
27,8,触觉材料套装,木质机器人感知组,机器人的关节可以随便扭，摆出各种酷酷的姿势。需要两只手配合，锻炼手腕灵活度。,手腕灵活、双手协作
28,9,触觉材料套装,磁性切分操作组,拿刀切开水果，“咔嚓”一声特别爽。教孩子左手拿右手切，锻炼手眼配合，学习生活常识。,手眼协调、生活认知
29,10,触觉材料套装,弹性建构感知组,颜色鲜艳的球有很多洞洞，小手容易抓得住。引导宝宝伸手去抓去捏，锻炼手部控制能力。,抓握力量、空间认知
30,11,味嗅觉材料套装,嗅觉认知组件,这个假水果配合香片一起闻，让孩子闻味道找水果，把鼻子和眼睛配合起来，增强记忆力。,视嗅整合、认知配对
31,12,味嗅觉材料套装,香包组件,闻闻香包猜猜是哪种花，把一样的味道分在一起。能锻炼鼻子灵敏度，还能唤起嗅觉记忆。,嗅觉辨识、记忆联想
32,12,味嗅觉材料套装,香薰,闻闻不同的精油味道，有的让人精神，有的让人放松。扩展孩子的嗅觉经验，调节心情。,嗅觉脱敏、情绪调节
33,13,味嗅觉材料套装,仿真面包,看着像面包，闻着也像面包。教孩子把气味和物品对上号，学会叫出生活中食物的名字。,多感官整合、生活认知
34,13,味嗅觉材料套装,嗅觉本,跟着书本做游戏，一边闻一边学着说“香的、臭的”。让孩子学会用语言描述闻到的味道。,嗅觉认知、语言表达
35,14,味嗅觉材料套装,味觉套装,安全地尝一点酸甜苦咸，让挑食的孩子适应不同味道。学会分辨味道，不再抗拒新食物。,味觉耐受、认知建立
36,14,味嗅觉材料套装,味觉本,按照书里的步骤去尝味道，教孩子说出“好酸、好甜”。把吃东西的感觉变成话语说出来。,味觉体验、语言表达
37,15,视觉材料套装,色彩感知组,看着卡片上的颜色，把小棍插到鳄鱼背上。既要认准颜色，手还要插得准，锻炼眼手配合。,视觉辨识、精细动作
38,15,视觉材料套装,色彩流动输入组,看着亮光里的水流旋转上升，非常吸引眼球。孩子做对任务时给看这个，是最好的奖励。,视觉刺激、强化奖励
39,15,视觉材料套装,星光影感知组,关上灯，找找墙上的星星都在哪。让孩子不再怕黑，还能锻炼眼睛在暗处找东西的能力。,视觉搜寻、环境适应
40,15,视觉材料套装,视觉本,跟着书本找不同、找规律。教孩子学会仔细观察，不再看东西走马观花，提升观察力。,视觉观察、课程指引
41,16,视觉材料套装,动态分层视觉组,看着沙漏一点点流完，孩子就明白“五分钟”是多久了。既能练专注，又能学会等待。,时间概念、视觉持续
43,17,视觉材料套装,手持星星,手里拿着发光的星星，走到哪亮到哪。训练孩子眼睛盯着光走，锻炼在暗处的视觉定位。,视觉定位、视听整合
44,17,视觉材料套装,七彩渐变感知组,柔和的月亮光会变色，拿着它在黑屋子里探索。能让怕黑的孩子有安全感，锻炼视觉追踪。,视觉追踪、安全感
45,18,视觉材料套装,光影建构视觉模块,透光的彩色积木搭在一起，阳光一照特别美。让孩子认识颜色叠加，还能练习搭高高。,颜色认知、空间建构
46,19,视觉材料套装,手持式光影感官调控板,晃一晃，里面的亮片液体就流动起来。孩子烦躁时盯着它看，心跳就能慢慢平复下来。,视觉追踪、情绪镇静
47,20,听觉材料套装,节奏感知听觉训练组,敲敲打打听不同的声音，跟着节奏摇摆。大家一起玩乐器，能让孩子学会配合别人。,听觉分辨、社交互动
48,21,听觉材料套装,多感官听觉感知组,上下翻转，里面的珠子滚过迷宫声音很清脆。吸引孩子竖起耳朵听，锻炼专注力和抓握。,听觉专注、抓握能力
49,21,听觉材料套装,分层听觉感知单元,慢慢倾斜，闭上眼听就像下雨的声音。这种白噪音能让孩子安静下来，培养听觉想象力。,听觉联想、情绪安抚
50,21,听觉材料套装,听觉本,跟着书本玩听声音游戏，分辨是大声还是小声。教孩子学会听指令，锻炼耳朵的敏锐度。,听觉训练、听从指令
51,22,听觉材料套装,多频听觉敲击单元,敲不同的琴键声音不一样，让孩子明白动作带来声音。敲敲打打还能锻炼手臂的大动作。,听觉辨识、上肢协调
52,23,听觉材料套装,视听联动表达组,对着镜子说话还能录音，看见自己的口型，听见自己的声音。专门帮孩子练习开口说话。,语言诱发、自我认知
53,23,听觉材料套装,听觉辨别组,使劲吹气就能发出动物叫声，好玩又能练肺活量。锻炼嘴巴肌肉，为以后说话打基础。,口肌锻炼、发音辅助
54,24,本体觉材料套装,包裹本体觉感知单元,像豌豆一样挤在这个充气船里，身体被紧紧包住。这种挤压感能给孩子极大的安全感。,身体边界、安全感
55,25,本体觉材料套装,颗粒大龙球,骑在这个大花生球上摇晃，表面还有按摩颗粒。能锻炼孩子的腰腹力量，帮他们坐得稳。,核心稳定、前庭输入
56,26,本体觉材料套装,重力弹跳感知单元,抓着手柄蹦蹦跳跳，这需要很好的平衡能力。能消耗多余精力，还能锻炼全身的协调性。,动态平衡、核心力量
57,27,本体觉材料套装,触觉-本体觉联动游戏衣,互相追逐去揪对方的尾巴，跑来跑去很开心。锻炼孩子跑动平衡，还能学会和小伙伴玩。,社交互动、大运动
58,28,综合训练材料套装,表情游戏组,拼出哭、笑、生气的脸，教孩子看懂别人的表情。学会察言观色，知道别人是开心还是难过。,情绪认知、社交观察
59,29,综合训练材料套装,猫捉老鼠桌游,听到指令赶紧抓或赶紧跑，比谁反应快。这能治孩子冲动的毛病，学会听指挥和守规矩。,冲动控制、规则意识
60,30,综合训练材料套装,百变结构组,转动一个齿轮，所有的都跟着转，太神奇了。让孩子明白因果关系，锻炼动脑逻辑能力。,逻辑思维、因果推理
61,31,综合训练材料套装,指令游戏组,扔大骰子决定做什么动作或拿几个东西。让大家轮流玩，学会遵守游戏规则和认识数字。,社交轮流、规则意识
62,32,综合训练材料套装,小熊乐乐,给小熊拉拉链、系扣子、绑鞋带。把手练巧了，以后孩子就能自己穿衣服，不用家长帮。,生活自理、精细动作
62,32,综合训练材料套装,枕头安安,枕头上有插扣和响球，专门给手闲不住的孩子玩。锻炼手指力量，需要两只手配合才能玩。,双手协作、精细动作
63,32,综合训练材料套装,发声感官启智配对豆包,摸起来手感不同，捏一下还会响。让孩子一边摸形状一边听声音，全面锻炼感觉统合能力。,触觉脱敏、感官统合
66,33,训练卡,训练卡,老师拿卡片发指令，孩子看图就知道该做什么。把复杂的训练变成一步步的游戏，简单好用。,视觉提示、结构化教学
