情绪分类,难度分级,场景编号,场景名称,场景核心线索,场景训练目的,特教情绪锚点（避坑红线）
难过,L3,21,篮球赛输了坐在场边,篮球场上别班同学在欢呼，主角穿着满身是汗的球衣，独自坐在场边长椅上，低头用毛巾捂着脸,识别竞技失败后的难过情绪，理解群体狂欢与个体落寞的强烈反差，学习面对团队失利时的合理情绪宣泄途径与心理重建。,纯努力落空的失落，强烈的群体反差对比
生气,L1,22,搭好的积木被同伴一把推倒,小朋友面前是散落一地的积木，旁侧的小朋友手还停在推倒的半空中，主角皱眉瞪眼攥紧双拳，脸憋通红,识别个人劳动成果被破坏时的生气情绪，完成因果推理，重点训练使用“停止”手势或语言抗议等非暴力方式表达愤怒。,明确的「正在被侵犯边界」的瞬间，无需脑补过去
生气,L1,23,手里的玩具汽车被强行拽走,另一个孩子正用力从主角手里拽走玩具车，主角死死抓住另一头，皱眉瞪眼大叫,识别物权被侵犯时的生气情绪，理解物品被强夺引发的愤怒冲动，学习在冲突正在进行时向老师或家长求助以和平维权。,明确的物品抢夺正在进行中，排除难过
生气,L1,24,正在看动画片电视被拔电源,爸爸手里拿着刚拔下的电视插头，电视黑屏，小朋友坐在沙发上气得跺脚，皱眉大喊,识别自身需求被外界强行阻断时的生气情绪，理解规则执行与自身意愿的冲突，训练儿童的延迟满足能力与接受规则约束。,明确的需求被强行阻断，视觉因果直接
生气,L2,25,刚写完的作业本被泼了脏水,小学生看着课桌上被墨水/脏水泼湿模糊的作业本，旁边站着拿空水杯闯祸的同学，主角猛拍桌子瞪眼皱眉,识别心血遭到破坏时的强烈生气情绪，理解对方过失造成的实质损失，学习控制攻击冲动并掌握要求道歉或索赔的合理社交维权方式。,明确的劳动成果被破坏，可视化的惨状
生气,L2,26,食堂打饭被同学强行插队,小学生端着不锈钢餐盘排队，一个同学强行挤到他正前方，主角皱眉瞪眼，伸手拽住对方的衣服抗议,识别公平规则被打破时的生气情绪，理解社交秩序中的“不公”引发的愤怒，训练在校园公共场景中如何用果断的言辞维护规则。,中国校园特色，明确的规则被破坏线索
生气,L2,27,借给同学的新橡皮被掰成两半,同学把掰成两半的橡皮放在主角课桌上，主角看着碎橡皮，眉头紧锁下颌紧绷，拳头砸在桌上,识别私人物品遭毁坏时的生气情绪，理解信任被辜负与物权受损的愤怒，学习界定同伴交往的底线并做出恰当的边界回应。,明确的物品被毁坏，视觉极其直接
生气,L3,28,回座位发现书包被人翻得乱七八糟,中学生站在课桌前，书包拉链大开，书本笔袋散落一地，旁边几个同学在起哄笑，主角皱眉怒视他们，双拳紧握,识别个人隐私遭到严重侵犯时的生气情绪，理解校园恶作剧或霸凌苗头引发的极度愤怒，训练坚守底线、寻求权威介入的自我保护机制。,隐私与边界被严重侵犯，场景惨烈直观
生气,L3,29,辛辛苦苦画的黑板报被乱涂乱画,中学生手里拿着粉笔，面前原本精美的黑板报被画了大大的黑色叉号，主角转身怒视后方拿着黑板擦捣乱的人,识别集体心血遭恶意破坏的生气情绪，理解深层恶意引发的爆发性愤怒，训练在高压突发事件下的情绪克制与理性处理流程。,中国校园特色，明确的成果被恶意破坏
害怕,L1,30,窗外闪电打雷劈下,小朋友缩在沙发角落，双手紧紧捂住耳朵，窗外是一道巨大的刺眼闪电，小朋友闭眼浑身发抖,识别对恶劣自然环境的害怕情绪，理解声光突变带来的感官本能恐惧，学习捂耳、寻找庇护所等自我感觉调节与安抚策略。,明确的自然环境恐惧源，视觉+动作直接体现
害怕,L1,31,被没拴绳的大狗冲着叫,小区路上，一条没拴绳的大狗正冲着小朋友狂吠（张嘴露牙），小朋友往后退缩，双手挡在胸前，满脸惊恐,识别突发物理威胁引发的害怕情绪，理解动物攻击倾向导致的恐惧本能，训练遇到危险动物时的安全避险行为（如不跑、遮挡、呼救）。,明确的即时危险线索，纯恐惧
害怕,L1,32,在医院看到护士拿着大针管,小朋友坐在诊椅上，面前的护士正举着针管推药水，小朋友吓得抱紧妈妈的脖子，死死闭着眼睛嚎哭,识别医疗场景中的害怕情绪，理解对未知疼痛和器械的恐惧心理，学习医疗场景下的脱敏配合技巧以及如何寻求照料者的情感支持。,明确的即时恐惧源，视觉冲击力强
害怕,L2,33,独自走漆黑的楼梯间,声控灯坏了的黑暗楼梯间，小学生背着书包，双手紧紧抱在胸前，眼睛惊恐地盯着上方黑暗处，贴着墙根走,识别黑暗或未知环境引发的害怕情绪，理解缺乏视觉安全感导致的联想恐惧，训练环境适应力及深呼吸等自我壮胆技巧。,明确的环境未知危险线索，纯恐惧
害怕,L2,34,看恐怖片吓得躲在被子里,客厅电视里播放着阴森的画面，小学生用毯子蒙住大半个头，只露出一双惊恐瞪大的眼睛盯着电视,识别媒体画面刺激引发的害怕情绪，理解虚构内容引发的感官恐慌，学习区分“虚幻媒体”与“真实危险”，并掌握主动回避恐惧源的自我保护。,明确的环境恐惧源，行为动作极具代表性
害怕,L3,35,走夜路发现身后有黑影跟着,昏暗的路灯下，中学生走在前面，紧张地回头看，身后几米外有一个模糊的高大黑影，主角攥紧书包带冷汗直冒,识别真实潜在威胁带来的极度害怕情绪，理解尾随引发的安全恐慌，重点训练危机识别能力与快速逃离、报警等实操求生技能。,明确的潜在危险，核心是恐惧
害怕,L3,36,站在校长办公室门口被点名,中学生站在挂着“校长室”牌子的门口，校长正严厉地指着他让他进去，主角双腿紧绷，咬唇发抖不敢抬头,识别即将面临权威惩罚的敬畏与害怕情绪，理解打破规则后的心理负担，学习正视错误、缓解灾难化联想带来的过度焦虑。,中国校园特色，“即将到来的权威惩罚”的恐惧
尴尬,L1,37,在幼儿园午睡醒来尿裤子了,小朋友站在小床边，裤裆湿了一大片水渍，旁边的几个小朋友指着他笑，主角低头脸涨得通红，双手捂住裤子,识别低龄段当众出糗时的尴尬情绪，理解身体失控遭遇围观带来的羞耻感，学习消除羞耻定势并敢于向老师求助处理生理意外。,低龄最典型的“当众出糗”，视觉极度直观
尴尬,L1,38,衣服穿反了领口标签露在外面,小朋友在教室里，毛衣穿反了，大大的洗水标/尺码标露在下巴下面，同桌指着标签笑，主角满脸通红拽衣服,识别外观小失误被指出时的尴尬情绪，理解他人关注引发的轻微窘迫，学习用迅速纠正行为或自我解嘲来化解社交不适。,明确的「被围观的小失误」，排除害羞
尴尬,L2,39,上课读错拼音被全班哄笑,小学生站在黑板前，黑板上写着拼音，他正张嘴读，台下全班同学捂着嘴大笑，主角羞得脸通红，手足无措捏粉笔,识别课堂表现失误引发的尴尬情绪，理解被群体嘲笑时的羞怯与无地自容，训练抗嘲笑的心理建设与自我接纳能力。,中国课堂特色，“当众失误 + 围观”
尴尬,L2,40,食堂吃饭不小心筷子掉地上,小学生端着餐盘，一双筷子掉在脚边的瓷砖上发出声响，周围几桌同学都转头盯着他看，主角脸通红弯腰去捡,识别破坏公共空间安静引发围观的尴尬情绪，理解小意外打断社交常态带来的局促感，学习从容应对意外并独立完成善后清理动作。,中国生活特色，当众小意外引发的围观尴尬
尴尬,L2,41,跑操时鞋子飞出去被围观,操场上全班排着整齐的方阵跑操，主角的一只运动鞋甩飞在半空中，他穿着袜子的脚踩在地上，全班停下来看着他笑，他脸通红捂脸,识别集体活动中引发强烈反差出糗的极度尴尬情绪，理解成为突发负面焦点的心理压力，训练高压尴尬情境下的情绪脱困与心理韧性。,中国校园特色，“当众大出糗 + 极强围观”
尴尬,L3,42,演讲台上麦克风坏了发不出声音,中学生站在全校演讲台上，拿着麦克风张大嘴却没声音，台下黑压压的观众都在疑惑地看他，他脸通红满头大汗拍打麦克风,识别重大公众表现受阻时的尴尬情绪，理解失去环境掌控感带来的恐慌与窘迫，学习公众危机公关意识与从容救场或求助策略。,明确的“当众重大失常 + 全场关注”，无时间线要求
尴尬,L3,43,认错人从背后拍了陌生人的肩膀,大街上，中学生拍了一个背影很像朋友的人的肩膀，对方转过一张完全陌生的冷漠脸，主角手停在半空，脸涨得通红连连摆手,识别社交误认导致的尴尬情绪，理解打破陌生人边界后的社交局促，训练快速自然地表达歉意并礼貌退出尴尬情境的社交技能。,极度共鸣的社交尴尬瞬间，无需语言和过去线索
害羞,L1,44,被过年走亲戚的阿姨夸奖可爱,客厅里，亲戚阿姨笑着指着小朋友夸奖，小朋友躲在妈妈大腿后面，只露出半个脸红红地浅笑,识别获得长辈正向关注时的害羞情绪，理解喜悦伴随轻微退缩的复合心理表现，学习如何大方地接受赞美并进行基本礼貌互动。,明确的「正向关注 + 轻微退缩」，中国过年情境
害羞,L1,45,第一天戴上红领巾被全班注视,一年级小学生胸前挂着鲜艳的红领巾站在讲台上，全班同学都在看他，他低着头脸蛋红扑扑的，嘴角带着笑摸着红领巾,识别初次获得荣誉成为焦点时的害羞情绪，理解自我意识萌发时的腼腆心态，鼓励特需儿童接纳来自群体的善意注视。,中国校园特色，“新荣誉带来的正向关注”
害羞,L2,46,老师当众朗读自己的优秀作文,语文课上，老师拿着主角的作文本大声朗读并竖起大拇指，全班同学回头看着他，主角坐在座位上低头脸红，捂着嘴偷笑,识别同伴面前受到公开表扬的害羞情绪，理解内心自豪与外表含蓄的内敛表达方式，培养恰当的同伴互动与自我肯定感。,中国课堂特色，当众正向关注，区别于自豪的挺胸
害羞,L2,47,收到同学亲手折的千纸鹤礼物,课间，同桌递过来一串精美的千纸鹤，主角双手接过，低着头脸颊泛红，眼神闪躲但带着开心的笑,识别社交关系中收到同伴正向反馈的害羞情绪，理解同伴交往中的真诚善意，训练面对他人示好时的眼神接触与真诚道谢能力。,同伴交往的正向关注，视觉直观且合规
害羞,L3,48,被全班同学围着唱生日快乐歌,课桌上放着点着蜡烛的蛋糕，周围围满了拍手唱生日歌的同学，主角坐在中间脸红彤彤的，双手捂着脸带笑,识别高强度正向情感包围下的害羞情绪，理解成为集体唯一焦点时的局促与快乐交织，训练在群体祝福中安然自处并给予合宜回馈。,明确的“高强度当众正向关注”
害羞,L3,49,上台领取“三好学生”奖状,中学生站在领奖台上，校长把“三好学生”奖状递给他，他微微低头脸颊泛红，腼腆地接过奖状，区别于极度张扬的骄傲,识别正式场合受到权威肯定时的腼腆与害羞情绪，理解不过度张扬的内敛喜悦，学习在公开仪式上保持得体大方的社交仪态。,中国校园特色，含蓄的正向情绪
内疚,L1,50,不小心打碎了妈妈最爱的瓷碗,小朋友站在厨房地上，脚边是摔得粉碎的陶瓷碗和一地汤汁，妈妈站在旁边皱眉，小朋友深深低头，双手背在身后不敢看妈妈,识别因个人行为造成物品破坏的内疚情绪，完成“我的过失导致坏结果”的因果推理，学习克服逃避心理并主动承认错误。,自己的直接物理行为造成了破坏，因果同框可见
内疚,L1,51,推拉中把同学的手臂抓出红血丝,另一个小朋友举着手臂，手臂上有明显的红血丝抓痕在哭，主角站在对面，低头看着那道抓痕，内疚得咬嘴唇流泪,识别导致他人受伤场景中的内疚情绪，理解自身行为对他人带来身体痛苦的因果关系，重点训练换位思考共情能力与真诚道歉的社会交往行为。,自己的行为致人受伤，伤口和肇事者同框
内疚,L2,52,把借来的图书馆绘本撕破了一大页,小学生坐在书桌前，手里拿着借来的印有条形码的图书馆书籍，其中一页被撕裂成了两半，他低头看着破损处满脸自责,识别损坏公共财物引发的内疚情绪，理解违背公共契约与规则的自责心理，学习承担个人责任并主动寻求修补或赔偿等补救措施。,损坏公共物品，罪证就在手里，无需脑补
内疚,L2,53,踢球砸碎了教室的玻璃窗,走廊上，一扇教室窗户玻璃碎了一个大洞，地上一颗足球，主角孤零零站在足球旁边，低头缩着脖子，老师正走过来,识别意外肇事引发的强烈内疚情绪，理解玩耍过失造成严重公共后果的悔恨与恐惧，训练面对严重错误时的主动担当与不逃避意识。,肇事现场直接同框，强烈的犯错自责感
内疚,L2,54,踩脏了同学今天刚穿的新白鞋,同学脚上雪白的运动鞋上有一个清晰的黑色黑泥鞋印，主角保持着刚踩完的收脚动作，看着那个黑脚印满脸通红自责,识别日常社交摩擦中的内疚情绪，理解不小心冒犯他人后的歉意与心理负担，学习即时做出补偿行为（如帮忙擦拭）以维护同伴关系。,极度直观的“对不起别人”的视觉现场
内疚,L3,55,骑车走神撞倒了路边的小树苗,一辆自行车倒在路边，压断了一棵刚栽下的小树苗，中学生站在旁边，看着断掉的树苗双手捂头满脸懊悔,识别对非人类对象造成无意破坏的内疚情绪，理解超越人际关系的生态责任感与懊悔心理，培养高阶同理心与对自然生命的敬畏感。,无需复杂人际关系的内疚感，直观的破坏现场
内疚,L3,56,没忍住偷吃完了给客人准备的整盒点心,中学生坐在茶几旁，面前是一个空空的高档点心包装盒，满嘴都是点心渣，听到门口客人进门的寒暄声，吓得满脸愧疚自责,识别违背规则与信任后的内疚情绪，理解“明知故犯”后面临抓包时的自我愧疚感，结合心智理论训练儿童的诚信意识与冲动克制能力。,直观的“做错事被抓包前夕”，空盒子是核心物证
自豪,L1,57,自己学会了用筷子夹起花生米,餐桌上，小朋友握着儿童练习筷，成功夹起了一颗花生米举在半空中，挺胸抬头给妈妈看，满脸骄傲,识别掌握新生活技能时的自豪情绪，理解独立解决问题带来的自我成就感，鼓励特需儿童建立日常生活自理的自我效能感。,独立的自理能力突破，核心成就感可见
自豪,L1,58,额头正中间被老师贴了“小红星”,小朋友站在讲台上，额头上贴着亮闪闪的奖励贴纸，双手叉腰挺胸抬头，满脸骄傲，台下同学鼓掌,识别获得外部明确表彰时的自豪情绪，理解遵守社会规则或表现良好带来的正向反馈，训练儿童将外部奖励转化为内在的积极行为动机。,中国幼教特色，靠自己获得明确奖励
自豪,L2,59,戴上了班级“值日生”的红袖标,小学生左臂上戴着鲜艳的“值日生”红袖标，拿着登记本站在走廊，挺胸抬头站得笔直，满脸神气,识别承担集体责任时的自豪情绪，理解被集体信任与赋权带来的社会荣誉感，培养儿童为集体服务的意识与同伴正向领导力。,中国校园特色，被赋予集体责任的自豪
自豪,L2,60,独立拼好了一个极其复杂的乐高长城模型,书桌上放着一个巨大的乐高长城成品，小学生站在旁边，单手叉腰指着自己的作品，昂起下巴满脸骄傲,识别完成长周期任务后的自豪情绪，理解长期专注力与意志力付出后取得成果的极致成就感，训练延迟满足与坚持到底的品格。,劳动成果的直观展示，靠自己付出的成就
自豪,L2,61,试卷上写着鲜红的“100分”,小学生坐在座位上，双手把写着巨大红笔“100”分的试卷高高举起展示给同桌看，挺胸抬头大笑,识别学业表现优异时的自豪情绪，理解努力付出与获得高评价的直接因果联系，学习合理分享喜悦，避免在同伴中表现出过度炫耀。,最经典的中国式校园成就感可视线索
自豪,L3,62,胸前挂着校运动会的金牌,中学生站在操场领奖台最高处，脖子上挂着闪亮的金牌，手里拿着证书，单手指天挺胸大笑,识别竞技体育夺魁后的极致自豪情绪，理解公平竞争下脱颖而出的极高荣誉感，体验坚持拼搏精神所带来的强烈情感回报。,荣誉的极致视觉具象化
自豪,L3,63,手里拿着红色的“高中/大学录取通知书”,中学生站在校门口或家里，双手捧着大红色的烫金录取通知书，昂首挺胸对着镜头展示，笑容充满底气,识别达成重大人生目标后的自豪情绪，理解长期坚持的系统性努力最终兑现时的深层骄傲，帮助确立长远的人生奋斗价值观与内在底气。,中国升学特色，长期努力获得终极认可的自豪
焦虑,L1,64,憋尿找不到厕所在走廊急得跺脚,小朋友双手紧紧捂住裤裆，双腿夹紧内八字，在商场走廊里急得满头大汗来回转圈，四处张望找厕所标志,识别生理急迫场景中的焦虑情绪，理解基本生理需求受阻引发的强烈躯体紧张感，训练在紧急情况下的准确语言表达与求助技能。,极度强烈的即时生理紧张焦虑，无需时间流逝
焦虑,L2,65,考试快结束试卷还有大半面空白,考场墙上的时钟指在11:55，小学生的试卷反面全是空白没写，他咬着铅笔头，满头大汗，焦急地盯着时钟抖腿,识别时间紧迫场景下的焦虑情绪，理解时间流逝与任务未完带来的强压迫感，训练时间管理意识及考场深呼吸等自我抗压技巧。,用“空白卷”+“特定时间指针”制造静止的紧迫感
焦虑,L2,66,坐在爸爸电动车后座遇上超长红灯,马路路口，交通灯显示红灯还有99秒，小学生坐在电动车后座，焦急地探出头看前面拥堵的车流，不停地看手表跺脚,识别目标受阻场景下的焦虑情绪，理解空间受限与长时间等待造成的即时烦躁不安，学习在不可控等待环境中的注意力转移与自我平复。,中国生活特色，空间受限+目标受阻的即时不耐烦
焦虑,L2,67,手里拿着一团打死结的耳机线解不开,小学生用力拽着手里缠成一团乱麻的有线耳机，越弄越紧，眉头紧锁，咬牙切齿满脸暴躁,识别处理繁琐事物受挫时的焦虑情绪，理解无效努力带来的烦躁与暴躁易怒状态，训练遇到死磕难题时“停下、深呼吸、寻求帮助”的调节机制。,明确的“正在处理繁琐且无效的事物”产生的不耐烦
焦虑,L3,68,站在考场外等候进场,考场警戒线外，中学生手里死死攥着复习资料，双手发抖，嘴里念念有词疯狂背诵，额头冒汗,识别面临重大评判前的考前焦虑情绪，理解预期压力带来的极度身心紧张反应，学习考前认知重塑、积极心理暗示等有效情绪降温策略。,中国升学特色，面临重大评判前的极度即时紧张
焦虑,L3,69,手机只有1%电量却扫不开共享单车,路边，中学生的手机屏幕亮着红色的1%低电量警告，他正焦急地疯狂对着共享单车扫码，眉头紧锁狂点屏幕,识别资源枯竭与突发障碍带来的焦虑情绪，理解现代关键生存工具失效时的失控恐慌感，训练制定备用方案（Plan B）与面对突发困难时的冷静思考能力。,现代生活特色的即时焦虑，资源枯竭的视觉体现
焦虑,L3,70,马上要上台表演在侧幕疯狂背台词,舞台侧面的暗处，中学生穿着演出服，手里拿着台词本，紧张得大口深呼吸，手掌不停出汗在衣服上擦,识别面临重大公开表现前的焦虑情绪，理解高期待与潜在犯错恐惧交织的高度心理紧张，学习接纳适度焦虑并将其转化为促进表现的正向动力。,明确的即将发生的重大挑战，动作极具紧张感
嫉妒,L1,71,妈妈正在亲吻拥抱二胎弟弟/妹妹,妈妈坐在沙发上温柔地抱着弟弟，亲他的脸颊，主角站在旁边，紧紧抓着沙发边缘，斜眼盯着他们撇嘴皱眉,识别家庭资源被瓜分时的嫉妒情绪，理解吃醋的心理机制，学习用语言正向表达对父母爱的需求，而非采取针对同胞的攻击行为。,明确的同画面亲情落差，视觉直接
嫉妒,L1,72,别的小朋友在吃大大的棉花糖，自己没有,游乐园里，旁边的孩子举着巨大的彩色棉花糖吃得开心，主角手里只拿着白开水瓶，斜着眼睛直勾勾盯着棉花糖咽口水,识别物质落差带来的基础嫉妒情绪，理解“别人有我没有”的心里不平衡感，训练接纳物质差异，克制负面情绪与不合理的当众索要行为。,明确的同画面物质落差，低龄易懂
嫉妒,L2,73,同学在炫耀最新款的高级文具盒，自己只有旧的,课间，几个同学围着一个人惊呼他桌上的豪华多功能文具盒，主角坐在旁边，死死捏着自己破旧的铁皮文具盒，斜眼怒视,识别同伴攀比场景中的嫉妒情绪，理解物质条件对比引发的眼红与自卑交织心理，学习建立内在自我价值感，树立正确的物质相处观念。,中国校园特色，同画面物品对比
嫉妒,L2,74,老师给同桌发了奖品笔记本，自己桌上空空,课堂上，同桌开心地摸着老师刚发下来的奖品笔记本，主角坐在旁边，桌上什么都没有，斜眼死盯着那个本子，下巴紧绷,识别荣誉落差带来的嫉妒情绪，理解他人获得奖赏而自己落空的心里不甘与酸楚，训练化嫉妒为进步动力并学会由衷欣赏他人的优秀特质。,中国课堂特色，同画面荣誉落差对比
嫉妒,L3,75,自己最好的朋友跟别人戴了“同款手链”笑闹,走廊里，主角最好的朋友正和另一个同学开心举起手展示相同的精美手链，主角站在远处角落，死死盯着那两条手链冷眼皱眉,识别社交关系维系中的嫉妒与独占欲情绪，理解排他性被打破时的心理被剥夺感，学习理解同伴友谊的开放性特征，妥善处理人际交往中的占有欲。,明确的同画面关系被取代的落差，校园合规无早恋
嫉妒,L3,76,同桌的桌上堆满生日礼物，自己桌上空空,教室里，同桌的桌子上放着蛋糕和各种包装精美的礼物，被同学围着，主角坐在自己空荡荡的课桌前，双手抱臂斜眼看着那边,识别社交待遇极大落差下的嫉妒情绪，理解自己被冷落而他人受追捧时的深层防御心理，训练在社交劣势情境中保持情绪觉察、不过度内耗及进行自我肯定。,强烈的同画面社交待遇落差对比
孤独,L2,77,课间操大家手拉手围成圈，自己站在圈外,操场上，同学们开心地手拉手围成一个大圆圈做游戏，只有主角一个人孤零零地站在圆圈外面几米处，低头看着脚尖,识别物理隔离造成的孤独情绪，理解“群体互动与个体落单”带来的强烈落差失落感，学习如何鼓起勇气发出社交请求并顺利融入群体圈子。,明确的物理隔离，“群体圈子 vs 个体落单”的强对比
孤独,L2,78,食堂里大家坐满大桌聊天，自己独自坐角落单人桌,拥挤喧闹的学校食堂，同学们三五成群围坐在大餐桌前边吃边笑，主角独自一人端着餐盘坐在最角落的单人位上背对人群,识别喧闹环境下的孤独情绪，理解身处人群却无人陪伴的深层孤立感，训练适应适当的公共空间独处，或主动寻找搭伴的社交主动性与勇气。,明确的“群体热闹 vs 个体独处”的空间强对比
孤独,L3,79,体育课自由活动，别人在打球自己独自在树下,操场上阳光明媚，远处的同学们都在成群结队打篮球、踢毽子，主角独自一人坐在边缘的大树阴影下，双手抱膝看着远方,识别自由活动中被边缘化的孤独情绪，理解缺乏同伴接纳或共同话题时的落寞感，学习发掘自身兴趣爱好进行自我充实，或主动观察并寻找志同道合的同伴。,物理位置与光影（阳光与阴影）对比强化孤立感
孤独,L3,80,放学下雨，别人被家长打伞接走，自己站在屋檐下等,校门口下着大雨，同学们都躲在家长撑开的五颜凌乱的雨伞下离开，只有主角一个人没带伞，孤零零地站在校门口门卫室的屋檐下看着雨幕,识别缺乏他人支持与庇护时的孤独情绪，理解在困境中无人依靠的无助与凄凉感，训练在逆境中的情绪自理能力及寻求实际帮助（如借伞、打电话求助）的生活技能。,中国校园特色，强烈的无助感与陪伴缺失对比
