序号,箱号,类别模块,产品名称,教育目标与功能描述,核心能力标签
15,13,环境创设工具-安抚灯光组,龙卷风灯,打开开关水里就会出现变色的龙卷风。它能瞬间抓住走神孩子的眼球，让他们停止乱跑，专注观看。,视觉聚焦、刻板打断
16,13,环境创设工具-安抚灯光组,律动灯,灯光会跟着音乐的节奏跳动闪烁。它把声音变成了可见的色彩，让互动游戏变得更加欢乐有趣。,视听联结、氛围调节
17,13,环境创设工具-安抚灯光组,动态烟火灯,贴墙上能闪出像放烟花一样的光，颜色随心换。它能满足爱看亮光的孩子，带来安全好玩的视觉享受。,动态寻觅、可控刺激
18,14,环境创设工具-安抚灯光组,星空投影互动,天花板上投出满天星空和水波纹，搭配哄睡音乐。房间变得非常静谧，专治孩子晚上害怕不敢睡觉。,沉浸庇护、睡眠引导
19,15,环境创设工具-安抚灯光组,安抚星,巴掌大的发光小星星，孩子能紧紧攥在手里。它就像护身符，拿着它走夜路也不怕黑，心里特踏实。,过渡依恋、黑暗脱敏
20,16,环境创设工具-安抚灯光组,呼吸安抚灯,软乎乎的小象，灯光会像呼吸般忽明忽暗。抱着它跟着节奏喘气，受惊吓的孩子就能快速冷静下来。,呼吸同频、生命感陪伴
21,15,环境创设工具-安抚灯光组,流沙安抚灯组,黑暗里会发光的小乌龟，摇一摇就会闪闪发亮。非常吸引孩子把玩，在好奇中放下防备，忘记怕黑。,留影追踪、防备卸除
22,17,环境创设工具-安抚灯光组,三色安抚灯,只有三色的简单小灯，光线柔和不刺眼。它操作极简，能给容易心烦意乱的孩子营造舒适休息角。,极简认知、防眩光庇护
23,18,环境创设工具-安抚灯光组,电光灯,手指摸到哪，神奇的闪电光就跟到哪。这种能控制光的魔法，能极大鼓励内向孩子主动伸手探索。,因果反馈、主动探索
24,19,环境创设工具-安抚灯光组,卫星安抚灯,带磁力的发光方块，可以像魔方一样拼接。同极相斥的阻力，能让死板的孩子学会转弯，动脑又动手。,阻力感知、思维破局
25,20,环境创设工具-安抚灯光组,光感静心安抚组,把发光小棍插进洞洞板拼图案，特别考验指尖准头。为了拼出发光画，孩子能一声不吭专注坐很久。,精细抗干扰、深度专注
26,21,环境创设工具-安抚灯光组,光纤安抚组,不发热的发光长线，孩子能抓在手里或披在身上。躲进这安全的彩光瀑布，是安抚大崩溃的终极武器。,沉浸包裹、终极疗愈
27,22,社交认知训练模块,情绪管理游戏,把惹人生气的事变成卡牌桌游。让孩子在游戏里演练怎么解决冲突，以后遇到真事就不容易挥拳头。,愤怒具象化、冲突预演
28,22,社交认知训练模块,情感表达套装,一套教孩子表达不满和需求的游戏。通过抽卡演练，让遇事只会撒泼打滚的孩子，学会用嘴好好说话。,情绪拆解、自我倡导
29,23,情绪支持,旋转戒指套装,外圈可以用拇指悄悄拨着转的小戒指。一点声音都没有，能让紧张或走神的孩子隐蔽地捏着解压。,极度隐蔽、指尖减压
30,23,情绪支持,回弹球,死死捏住软球再松开，能教孩子体会身体的放松。发火想打人时捏一捏，瞬间就能把脾气卸掉一半。,肌力觉察、冲动阻断
31,24,情绪支持,情绪互动套装,模拟惹毛孩子的糟心事走格子。让经不起挫折、爱摔东西的孩子在游戏里脱敏，以后不再轻易崩溃。,挫折脱敏、破坏替代
32,25,情绪支持,减压板,用笔戳着彩线画画会有轻微阻力。这能吸走孩子的无名火，用安静专心的画画代替烦躁抓狂。,正念专注、阻力吸耗
33,26,情绪支持,恐龙压印玩具,厚实的软胶恐龙使劲捏都不坏。想搞破坏发泄时给孩子用力捏这个，能有效把破坏力变成安全感。,破坏力转化、发泄掌控
34,26,情绪支持,气泡运动计时器,慢悠悠滴落的液体沙漏，能让孩子看见时间。用来做冷静倒计时特别管用，盯着看一会儿就不气了。,时间具象化、预测型锚点
35,27,情绪支持,感官帐篷,全黑的小帐篷能隔绝外面的吵闹。它给快要崩溃的孩子提供了一个能马上躲起来喘口气的安全窝。,物理退避、防崩溃重启
36,28,情绪支持,感官枕头,枕头上有好几种布料供手闲不住的孩子抠摸搓揉。舒服的手感能稳住他们坐不住的身体，乖乖坐好。,触觉疏通、温和替代
37,29,情绪支持,安抚选项卡,当孩子气得不会说话时，让他看着图卡挑选想要的安抚玩具。用自己做主代替被动管教，更快顺气。,需求表达、选择权赋能
38,29,情绪支持,声音标尺,把音量大小变成能看到的尺子。让忍不住大喊大叫的孩子一眼看懂规矩，自觉管好嘴巴小声说话。,听觉具象化、音量监控
41,30,训练卡,训练卡,一套手把手教你带孩子控制情绪的方法卡。搭配奖励贴纸，让枯燥的说教变成孩子喜欢的打卡闯关。,认知闭环、结构化蓝图
