领域,评估项目,观察与评估标准,参考年龄
双手协调,双手配合穿线,观察儿童一手持线头，另一手拿带孔物件引导穿过，评估双侧配合度。,4岁
双手协调,双手拼插积木,观察儿童双手配合进行拼插积木（如乐高）的组装，评估双手力量及方向控制。,4岁
双手协调,双手系鞋带（打交叉结）,观察儿童尝试用双手完成系鞋带的第一步交叉打结动作并拉紧。,5-6岁
视动整合,仿画水平线,观察儿童照样仿画一条横向水平线，线条连贯，偏差角度≤15度。,3岁
视动整合,仿画垂直线,观察儿童照样仿画一条纵向垂直线，线条连贯，偏差角度≤15度。,3岁
视动整合,仿画圆形,观察儿童照样仿画封闭圆形，起止点接近重合，形状接近正圆。,3岁
视动整合,仿画正方形,观察儿童照样仿画四边基本相等的封闭图形，四角接近直角。,4岁
视动整合,仿画十字,观察儿童仿画横竖相交的十字形，评估跨越身体中线及两方向线条控制。,4岁
视动整合,仿画斜线（左上至右下）,观察儿童仿画由左上至右下方向的斜线，角度偏差≤20度。,4-5岁
视动整合,仿画斜线（右上至左下）,观察儿童仿画由右上至左下方向的斜线，角度偏差≤20度。,4-5岁
视动整合,仿画三角形,观察儿童仿画三边封闭三角形，三角接近尖形，三边基本平直。,5岁
视动整合,仿画菱形,观察儿童仿画四边相近且对角线垂直的菱形，评估复杂的斜线整合能力。,6岁
视动整合,轨迹内描红（直线）,观察儿童在两条平行线（间距8mm）内画直线，不超出边界。,3-4岁
视动整合,轨迹内描红（波浪线）,观察儿童在两条波浪形平行线（间距8mm）内描绘曲线，评估视觉追踪及控笔。,4岁
视动整合,轨迹内描红（螺旋线）,观察儿童在螺旋形引导线（间距6mm）内描绘，由外至内不超出边界。,4-5岁
视动整合,连线成图,观察儿童按顺序用直线将点连接成简单几何图形，评估视觉引导能力。,4岁
视动整合,边界内涂色（大面积）,观察儿童涂色时，颜色超出轮廓线的面积不超过20%（轮廓≥3cm）。,4岁
视动整合,边界内涂色（小面积）,观察儿童涂色时，颜色超出轮廓线的面积不超过10%（轮廓≤2cm）。,5岁
视动整合,仿搭积木（3块）,观察儿童照样仿搭3块积木的平面或立体造型，位置与方向基本吻合。,3岁
视动整合,仿搭积木（6块）,观察儿童照样仿搭6块积木造型，评估空间认知及视动整合。,4岁
视动整合,仿搭积木（9块）,观察儿童照样仿搭9块积木造型，包含斜向排列，评估复杂的视觉空间操作。,5岁
视动整合,拼图匹配（4块）,观察儿童完成4块独立拼图，评估形状辨识及视觉空间操作能力。,3岁
视动整合,拼图匹配（8块）,观察儿童完成8块或以上拼图，评估较复杂图形辨识及操控精准度。,4-5岁
前书写技能,握笔姿势与手腕支撑,观察儿童握铅笔时，拇、食、中三指位置正确，且有适当的手腕伸展支撑姿势。,4岁
前书写技能,纸张摆放位置,观察儿童书写时，纸张放置方向（向惯用手侧轻微倾斜）是否适宜。,4岁
前书写技能,仿写数字 1–5,观察儿童仿照示范，在格内书写数字1至5，笔画方向及字形基本正确。,4-5岁
前书写技能,仿写数字 6–10,观察儿童仿照示范，在格内书写数字6至10，评估曲线及封口闭合度。,5岁
前书写技能,仿写大写英文字母,观察儿童仿照示范书写大写字母（如L、T、E、H），评估直线与转折的笔画方向。,5岁
前书写技能,虚线描红字母,观察儿童沿虚线轮廓描写字母，线条保持在虚线范围内，字形完整。,4-5岁
前书写技能,方格内书写（大小适中）,观察儿童在1.5cm方格内书写数字，字体不超出格线，大小占格子的60-80%。,5岁
前书写技能,运笔力度控制,观察儿童书写时力度适中，不划破纸张，且笔迹清晰可见（不过淡）。,5岁
前书写技能,从左至右书写习惯,观察儿童在横向书写时，字符排列具有从左至右的空间顺序意识。,5岁
前书写技能,仿写基本汉字笔画,观察儿童仿写“横”、“竖”、“撇”等基本笔画，起笔、行笔方向正确。,5岁
前书写技能,田字格内仿写汉字,观察儿童在2cm田字格内书写简单汉字（如：人、山、大），评估空间占位及比例。,5-6岁
前书写技能,汉字笔顺规则意识,观察儿童书写时，主要笔画符合“先横后竖、先撇后捺”等基本规则。,5-6岁
生活自理精细动作,用勺子独立进食,观察儿童以适当握持方式用勺子舀取食物送入口中，且不大量洒漏。,3岁
生活自理精细动作,用叉子进食,观察儿童用叉子准确叉起块状食物（如水果丁、肉丁）并送入口中。,3-4岁
生活自理精细动作,用筷子夹取食物,观察儿童尝试用筷子夹取较大块食物，虽姿势未完全成熟但具备功能性。,5-6岁
生活自理精细动作,独立穿上衣,观察儿童独立穿上套头衫或对襟上衣（不含扣纽扣），评估穿衣动作序列及双手配合。,4岁
生活自理精细动作,独立脱上衣,观察儿童能独立脱下上衣，评估衣物操控及双手协调。,4岁
生活自理精细动作,穿衣时扣纽扣,观察儿童在穿着状态下，独立将衣服上的纽扣（≥15mm）扣好。,4-5岁
生活自理精细动作,独立穿鞋（粘扣带/魔术贴）,观察儿童独立穿鞋，包括分清左右、对准脚部并拉紧粘好魔术贴。,4岁
生活自理精细动作,独立系鞋带（基本交叉结）,观察儿童用双手完成系鞋带的基础交叉及打结步骤（可接受未完成蝴蝶结）。,5-6岁
生活自理精细动作,拧水龙头洗手,观察儿童用手指/手掌完成旋转式水龙头的开启和关闭动作。,4岁
生活自理精细动作,独立梳头,观察儿童以惯用手握持梳子，完成从额前向脑后梳理的基础动作。,5岁
