序号,箱号,类别名称,产品名称,教育目标与功能描述,能力标签
20,8,人物与身体类,职业配对积木,从许多圆片里找出和某个职业有关的物品，放进对应位置。帮助孩子练习找线索和按类别整理。,视觉搜索、职业分类、规则参与
21,9,人物与身体类,身体部位认知卡,看卡片指出眼睛、手、膝盖等身体部位，并说出名称和作用。帮助孩子更清楚地认识自己的身体。,身体图式、部位命名、自我认知
22,9,人物与身体类,芭比娃娃,在娃娃身上找身体部位、穿脱衣服并说操作顺序。帮助孩子认识身体和练习生活情境。,身体图式、穿衣顺序、生活技能
23,10,动作与场景类,真人动作卡,看照片说出人物正在做什么，也可以跟着模仿动作。帮助孩子学会使用动作词和简单句。,动作理解、动词表达、动作模仿
24,10,动作与场景类,忙碌毛毡板,动手扣、拉、系、转和粘贴。帮助孩子练习生活小动作，理解动作词并提高手眼配合。,精细动作、动作计划、生活操作
25,10,动作与场景类,光影触觉感知训练扣,摇一摇、翻一翻，不同圆扣会反光并发出不同声音。帮助孩子发现“我怎么动，它就怎么变”。,感官辨别、因果认知、探索操作
26,11,动作与场景类,场所问达卡,看场景回答“这是什么地方”“里面有什么”“可以做什么”。帮助孩子理解常见场所并把话说完整。,场所认知、语义联想、问答表达
27,11,动作与场景类,城堡积木,用积木搭医院、学校、商店和道路，再安排人物和车辆。帮助孩子理解城市场所并练习讲故事。,空间建构、计划执行、情境叙事
28,12,特征与逻辑类,数字玩具,在天平两边放青蛙和数字，让它们一样重。帮助孩子理解数字代表多少，并学习简单加法和相等关系。,数概念、数量对应、等量运算
29,12,特征与逻辑类,大巴数字对对碰,把数字和相同数量的圆点拼成一辆大巴。帮助孩子把“数字符号”和“实际数量”对上号。,数与量对应、计数、部分整体
30,13,特征与逻辑类,形状配对游戏盒,找到每块形状对应的洞，再转一转放进去。帮助孩子认识形状、判断方向并练习手眼协调。,形状辨识、空间旋转、手眼协调
31,14,特征与逻辑类,属性配对卡—比较大小,把同一种物品按小、中、大进行比较和排序。帮助孩子正确理解“大一点”“最小”等词。,大小概念、比较排序、关系词
32,14,特征与逻辑类,彩色绒球,按颜色、大小或两种条件给绒球分类，也可以排队和数一数。帮助孩子学会找共同特征。,属性分类、大小排序、精细操作
33,14,特征与逻辑类,套娃玩具,把不同大小的玩偶一个个套进去、拿出来或叠起来。帮助孩子理解大小顺序和“里面、外面”。,大小分级、空间包含、问题解决
34,15,特征与逻辑类,属性配对卡—比较长短,看图片比较哪个更长、更短、更高或更矮，再按顺序排一排。帮助孩子理解相对关系词。,长短高矮、比较排序、关系表达
35,15,特征与逻辑类,叠高高,照着卡片选积木、数数量并摆出同样的造型。帮助孩子比较高矮粗细，练习照图完成任务。,视觉仿摆、数量认知、空间排序
36,15,特征与逻辑类,彩色原木棍,把木棍按长短、颜色排队，也可以照着规律接着摆。帮助孩子理解长度和简单规律。,长度概念、模式排序、属性分类
37,16,特征与逻辑类,归类与分类,先找出动物喜欢吃的食物，再用夹子或筷子喂给它。帮助孩子学习分类、配对和控制手部动作。,语义分类、关联配对、工具操作
38,16,特征与逻辑类,关联配对拼板,根据“动物吃什么、住哪里、人物用什么”等线索完成拼图。只有关系正确才能拼好，帮助孩子自己检查答案。,关联推理、语义网络、自我校验
39,17,特征与逻辑类,关联配对,把生活中经常一起使用的物品配起来，再说说为什么。帮助孩子理解物品之间的功能关系。,功能关联、生活常识、语言解释
40,17,特征与逻辑类,物品,在成人看护下剪彩纸、贴图形，做分类画或物品组合。帮助孩子练习双手配合、按步骤完成作品。,剪贴操作、双手协调、动作计划
41,17,特征与逻辑类,放大镜,用放大镜看一看平时不容易发现的细节，再说说哪里一样、哪里不同。,细节观察、比较辨别、探索表达
42,18,特征与逻辑类,因果物品,开锁、转齿轮、走轨道、系鞋带，看看每个动作会发生什么。帮助孩子边操作边思考解决办法。,因果认知、问题解决、精细操作
43,18,特征与逻辑类,哨子,对着哨子吹气，卷纸会伸开并发出声音。帮助孩子感受吹气力度和结果；需要一人一用、成人看护。,呼气控制、因果反馈、共同注意
44,19,情绪与社交类,情绪识别,看发生了什么，再选择人物可能是开心、生气、难过还是害怕。帮助孩子把事件和感受联系起来。,情绪识别、情境理解、情绪词汇
45,19,情绪与社交类,表情识别,选择眼睛、眉毛和嘴巴拼出不同表情。帮助孩子看懂脸部线索，也能用拼图表达自己的感受。,表情辨识、面部结构、非语言表达
46,20,情绪与社交类,情绪安抚套件,坐进U形软垫里，获得较明确的身体边界和安静空间。可在情绪升高时短暂休息；需根据孩子感受调整并由成人看护。,身体边界、情绪安定、自我调节
47,21,情绪与社交类,拍苍蝇,掷骰子后，按点数拍到相应数量的苍蝇，再轮到下一位。帮助孩子练习数数、等待和按规则行动。,数量对应、轮流等待、抑制控制
48,22,综合认知活动类,趣味美术材料,把不同形状的颗粒拼成动物、物品或自由作品。帮助孩子练手部操作、空间想象和创意表达。,精细动作、空间想象、创造表达
49,22,综合认知活动类,趣味洞洞书6册,沿着洞洞翻页，找一找数字、动物、形状和对比关系。帮助孩子愿意看书、指认图片并回答问题。,共同注意、概念认知、阅读参与
50,23,教学支持类,认知小博士卡片,按初、中、高难度学习颜色、形状、数字、分类、方位等概念。老师可以根据孩子水平逐步增加难度并反复练习。,概念学习、分级教学、知识泛化
51,23,教学支持类,认知小博士奖章+奖励贴纸,完成约定任务后获得贴纸或奖章，让孩子清楚知道自己哪里做得好。奖励要与具体目标对应，并逐步减少依赖。,正向强化、学习动机、自我监控
52,23,教学支持类,教学指南,说明每节课教什么、准备什么、怎么教、怎样记录和怎样把能力用到生活中，方便教师按儿童水平调整。,课程实施、个别化教学、能力泛化
