resourceKey,origin,moduleCode,resourceType,name,description,previewDescription,repeatPlayHint
care-scene:care-scene-45,care-scene,emotional,care_scene,周末去游乐园因为暴雨取消,识别同伴满怀期待落空后的沮丧情绪，理解不可抗力的影响，通过提议有趣的室内替代计划来抚平对方的失落感。,,
care-scene:care-scene-46,care-scene,emotional,care_scene,爷爷忘记买答应好的零食,识别长辈记忆衰退带来的小疏忽，理解对方自责的心情，通过主动表示不介意或分享其他食物表达对老人的敬爱。,,
care-scene:care-scene-47,care-scene,emotional,care_scene,妈妈切菜时不小心切到手,识别家人身体受伤时的疼痛，理解意外带来的家庭紧张感，通过寻找创可贴、递送纸巾表达对长辈的体贴关怀。,,
care-scene:care-scene-48,care-scene,emotional,care_scene,爸爸工作文件丢失大发脾气,识别长辈遭遇职业压力后的崩溃情绪，理解脾气背后的挫败感，通过保持安静、递杯温水或避开冲突表达关爱。,,
care-scene:care-scene-49,care-scene,emotional,care_scene,表弟在家族聚餐时打翻果汁,识别年幼孩子在长辈面前犯错的羞愧感，理解笨拙动作后的心理压力，通过主动递纸巾并协助清理化解社交危机。,,
care-scene:care-scene-5,care-scene,emotional,care_scene,同学忘带了重要的作业,识别他人因疏忽产生的慌乱与焦虑，理解对惩罚的畏惧心理，通过言语安抚或协助向老师说明情况展现社交援护。,,
care-scene:care-scene-50,care-scene,emotional,care_scene,好朋友留宿时想家哭了,识别同伴在陌生环境中产生的分离焦虑，理解对安全感的渴求，通过分享心爱玩具或言语陪伴缓解其思乡之情。,,
care-scene:care-scene-51,care-scene,emotional,care_scene,奶奶弄丢了最珍贵的项链,识别长辈失去充满回忆之物时的悲恸，理解老人对旧物的珍视，通过长时间的耐心陪同寻找表达对长辈的情感关怀。,,
care-scene:care-scene-52,care-scene,emotional,care_scene,牙齿上沾了很大一片菜叶,识别他人形象受损可能带来的潜在尴尬，理解隐私提醒的艺术，通过私下小声告知或手势暗示表达体贴的关心。,,
care-scene:care-scene-53,care-scene,emotional,care_scene,手工作品被小狗咬坏了,识别同伴创意心血被意外摧毁的崩溃感，理解对无心之过的无奈，通过共同修补或安慰来减轻对方的情感伤害。,,
care-scene:care-scene-54,care-scene,emotional,care_scene,同桌极度害怕桌子上的大虫子,识别他人面对特定恐惧源时的生理性惊慌，理解个体差异，通过勇敢地赶走虫子或拉开同伴来提供实际的安全保护。,,
care-scene:care-scene-55,care-scene,emotional,care_scene,落选了期待已久的校队,识别同伴遭遇竞争失败后的失落与自卑，理解对自我能力的怀疑，通过肯定其闪光点并鼓励再次尝试来注入信心。,,
care-scene:care-scene-56,care-scene,emotional,care_scene,爸爸在公园不小心滑倒出丑,识别长辈在公共场合失态后的窘迫与痛楚，理解成年人自尊心的维护，通过上前搀扶而非嘲笑展示子女的成长。,,
care-scene:care-scene-57,care-scene,emotional,care_scene,接水时被别人恶意插队,识别同伴遭受不公正待遇时的愤怒与无助，理解社会秩序被破坏的焦虑，通过仗义执言或共同排队表达情感支持。,,
care-scene:care-scene-58,care-scene,emotional,care_scene,走玻璃栈道吓得不敢动,识别同伴面对恐高心理时的极度焦虑，理解生理上的僵直反应，通过牵手陪伴或肯定鼓励帮助对方逐步克服恐惧。,,
care-scene:care-scene-59,care-scene,emotional,care_scene,妈妈生病发高烧躺在床上,识别家人身体虚弱带来的不适，理解生病时的心理依赖，通过覆盖毛巾、端送温水等照顾行为展示家庭成员的关爱。,,
care-scene:care-scene-6,care-scene,emotional,care_scene,同桌不小心把水洒在裤子上,识别同伴因形象受损产生的狼狈感，理解被注视的压力，通过递送干纸巾、遮挡视线等方式维护同伴的体面与尊严。,,
care-scene:care-scene-60,care-scene,emotional,care_scene,同桌穿了不同颜色的两只袜子,识别他人可能因粗心造成的社交漏洞，理解尴尬的预设，通过私下友善提醒或以幽默方式化解对方的窘迫情绪。,,
care-scene:care-scene-7,care-scene,emotional,care_scene,好朋友搭的积木被推倒了,识别他人努力成果瞬间消失的惊愕与伤心，理解劳动价值被否定的痛苦，通过协助重建积木展示持之以恒的支持。,,
care-scene:care-scene-8,care-scene,emotional,care_scene,妹妹害怕打雷闪电,识别幼童面对自然现象的本能恐惧，理解感官过载的压力，通过捂住耳朵、紧紧拥抱并科学解释来消解其内心不安。,,
care-scene:care-scene-9,care-scene,emotional,care_scene,同学弄丢了心爱的钢笔,识别他人因丢失心爱之物产生的懊悔与忧伤，理解物品的情感价值，通过协助寻找或借出文具表达对同伴的体恤。,,
emotion-scene:scene-1,emotion-scene,emotional,emotion_scene,幼儿园绘本角安静看书,识别阅读场景中的平静情绪，理解专注且放松的身体面部线索，学习在无干扰环境中维持自身的情绪平稳。,,
emotion-scene:scene-10,emotion-scene,emotional,emotion_scene,全家人围在一起包饺子,识别家庭互动场景中的开心情绪，理解陪伴、合作与归属感带来的温馨快乐，培养家庭情感连结与亲社会互动意愿。,,
emotion-scene:scene-11,emotion-scene,emotional,emotion_scene,游乐场坐碰碰车相撞,识别游乐场景中的开心/兴奋情绪，理解安全边界内的感官刺激带来的快乐，帮助儿童区分“安全刺激的开心”与“失控危险的恐惧”。,,
emotion-scene:scene-12,emotion-scene,emotional,emotion_scene,班级合唱比赛拿了奖状,识别集体获奖场景中的开心情绪，理解个体努力与团队荣誉带来的集体自豪感，训练在群体情境中共享喜悦及培养同理心。,,
emotion-scene:scene-13,emotion-scene,emotional,emotion_scene,和朋友骑共享单车春游,识别户外休闲运动场景中的开心情绪，理解课业压力释放后的释然之乐，学习建立健康有效的自我情绪调节与解压机制。,,
emotion-scene:scene-14,emotion-scene,emotional,emotion_scene,冰淇淋掉在地上,识别心爱物品损坏时的难过情绪，完成“失去/损坏-难过”的基础因果推理，学习使用语言表达失落而非出现行为崩溃。,,
emotion-scene:scene-15,emotion-scene,emotional,emotion_scene,气球飞上天抓不到,识别物品丧失带来的难过情绪，理解不可逆转的失去带来的直接悲伤，训练面对突发失落时如何寻求大人的情感安抚。,,
emotion-scene:scene-16,emotion-scene,emotional,emotion_scene,商场里找不到妈妈,识别分离焦虑引发的难过情绪，理解依恋对象缺失带来的痛苦与不安全感，学习在陌生环境中正确的求助路径（如找穿制服的保安）。,,
emotion-scene:scene-17,emotion-scene,emotional,emotion_scene,没被选上升旗手,识别期待落空时的难过情绪，理解“落选但需维持规则”的校园情境，训练面对挫折时的自我心理调适与负面情绪接纳。,,
emotion-scene:scene-18,emotion-scene,emotional,emotion_scene,宠物小金鱼漂在水面,识别面对生命丧失的深度悲伤情绪，理解死亡及永久消失的概念，进行初步的生命教育与哀伤辅导应对训练。,,
emotion-scene:scene-19,emotion-scene,emotional,emotion_scene,和好朋友吵架背对背,识别同伴冲突引发的难过情绪，理解物理距离背后的心理失落与友谊破裂感，学习冲突后的情绪冷却以及后续的关系修复策略。,,
emotion-scene:scene-2,emotion-scene,emotional,emotion_scene,在沙坑里安静挖沙子,识别独自玩耍场景中的平静情绪，理解无表现压力、无外界评价的纯粹玩耍过程，训练独立活动时的心境稳定性。,,
emotion-scene:scene-20,emotion-scene,emotional,emotion_scene,桌上放着不及格的成绩单,识别学业受挫引发的难过情绪，理解努力无效带来的自我怀疑与挫败感，训练抗挫折心理弹性和受挫后的自我宽慰能力。,,
emotion-scene:scene-21,emotion-scene,emotional,emotion_scene,篮球赛输了坐在场边,识别竞技失败后的难过情绪，理解群体狂欢与个体落寞的强烈反差，学习面对团队失利时的合理情绪宣泄途径与心理重建。,,
emotion-scene:scene-22,emotion-scene,emotional,emotion_scene,搭好的积木被同伴一把推倒,识别个人劳动成果被破坏时的生气情绪，完成因果推理，重点训练使用“停止”手势或语言抗议等非暴力方式表达愤怒。,,
emotion-scene:scene-23,emotion-scene,emotional,emotion_scene,手里的玩具汽车被强行拽走,识别物权被侵犯时的生气情绪，理解物品被强夺引发的愤怒冲动，学习在冲突正在进行时向老师或家长求助以和平维权。,,
emotion-scene:scene-24,emotion-scene,emotional,emotion_scene,正在看动画片电视被拔电源,识别自身需求被外界强行阻断时的生气情绪，理解规则执行与自身意愿的冲突，训练儿童的延迟满足能力与接受规则约束。,,
emotion-scene:scene-25,emotion-scene,emotional,emotion_scene,刚写完的作业本被泼了脏水,识别心血遭到破坏时的强烈生气情绪，理解对方过失造成的实质损失，学习控制攻击冲动并掌握要求道歉或索赔的合理社交维权方式。,,
emotion-scene:scene-26,emotion-scene,emotional,emotion_scene,食堂打饭被同学强行插队,识别公平规则被打破时的生气情绪，理解社交秩序中的“不公”引发的愤怒，训练在校园公共场景中如何用果断的言辞维护规则。,,
emotion-scene:scene-27,emotion-scene,emotional,emotion_scene,借给同学的新橡皮被掰成两半,识别私人物品遭毁坏时的生气情绪，理解信任被辜负与物权受损的愤怒，学习界定同伴交往的底线并做出恰当的边界回应。,,
emotion-scene:scene-28,emotion-scene,emotional,emotion_scene,回座位发现书包被人翻得乱七八糟,识别个人隐私遭到严重侵犯时的生气情绪，理解校园恶作剧或霸凌苗头引发的极度愤怒，训练坚守底线、寻求权威介入的自我保护机制。,,
emotion-scene:scene-29,emotion-scene,emotional,emotion_scene,辛辛苦苦画的黑板报被乱涂乱画,识别集体心血遭恶意破坏的生气情绪，理解深层恶意引发的爆发性愤怒，训练在高压突发事件下的情绪克制与理性处理流程。,,
emotion-scene:scene-3,emotion-scene,emotional,emotion_scene,排队在水槽洗手,识别排队等待场景中的平静情绪，理解遵守社会规则（排队）时的中性状态，训练延迟满足与常规等待期的情绪自控能力。,,
emotion-scene:scene-30,emotion-scene,emotional,emotion_scene,窗外闪电打雷劈下,识别对恶劣自然环境的害怕情绪，理解声光突变带来的感官本能恐惧，学习捂耳、寻找庇护所等自我感觉调节与安抚策略。,,
emotion-scene:scene-31,emotion-scene,emotional,emotion_scene,被没拴绳的大狗冲着叫,识别突发物理威胁引发的害怕情绪，理解动物攻击倾向导致的恐惧本能，训练遇到危险动物时的安全避险行为（如不跑、遮挡、呼救）。,,
emotion-scene:scene-32,emotion-scene,emotional,emotion_scene,在医院看到护士拿着大针管,识别医疗场景中的害怕情绪，理解对未知疼痛和器械的恐惧心理，学习医疗场景下的脱敏配合技巧以及如何寻求照料者的情感支持。,,
emotion-scene:scene-33,emotion-scene,emotional,emotion_scene,独自走漆黑的楼梯间,识别黑暗或未知环境引发的害怕情绪，理解缺乏视觉安全感导致的联想恐惧，训练环境适应力及深呼吸等自我壮胆技巧。,,
emotion-scene:scene-34,emotion-scene,emotional,emotion_scene,看恐怖片吓得躲在被子里,识别媒体画面刺激引发的害怕情绪，理解虚构内容引发的感官恐慌，学习区分“虚幻媒体”与“真实危险”，并掌握主动回避恐惧源的自我保护。,,
emotion-scene:scene-35,emotion-scene,emotional,emotion_scene,走夜路发现身后有黑影跟着,识别真实潜在威胁带来的极度害怕情绪，理解尾随引发的安全恐慌，重点训练危机识别能力与快速逃离、报警等实操求生技能。,,
emotion-scene:scene-36,emotion-scene,emotional,emotion_scene,站在校长办公室门口被点名,识别即将面临权威惩罚的敬畏与害怕情绪，理解打破规则后的心理负担，学习正视错误、缓解灾难化联想带来的过度焦虑。,,
emotion-scene:scene-37,emotion-scene,emotional,emotion_scene,在幼儿园午睡醒来尿裤子了,识别低龄段当众出糗时的尴尬情绪，理解身体失控遭遇围观带来的羞耻感，学习消除羞耻定势并敢于向老师求助处理生理意外。,,
emotion-scene:scene-38,emotion-scene,emotional,emotion_scene,衣服穿反了领口标签露在外面,识别外观小失误被指出时的尴尬情绪，理解他人关注引发的轻微窘迫，学习用迅速纠正行为或自我解嘲来化解社交不适。,,
emotion-scene:scene-39,emotion-scene,emotional,emotion_scene,上课读错拼音被全班哄笑,识别课堂表现失误引发的尴尬情绪，理解被群体嘲笑时的羞怯与无地自容，训练抗嘲笑的心理建设与自我接纳能力。,,
emotion-scene:scene-4,emotion-scene,emotional,emotion_scene,教室里安静写田字格本,识别学习场景中的平静情绪，理解无外界奖惩刺激下的自主专注力，训练在日常课业中保持情绪平稳不起伏。,,
emotion-scene:scene-40,emotion-scene,emotional,emotion_scene,食堂吃饭不小心筷子掉地上,识别破坏公共空间安静引发围观的尴尬情绪，理解小意外打断社交常态带来的局促感，学习从容应对意外并独立完成善后清理动作。,,
emotion-scene:scene-41,emotion-scene,emotional,emotion_scene,跑操时鞋子飞出去被围观,识别集体活动中引发强烈反差出糗的极度尴尬情绪，理解成为突发负面焦点的心理压力，训练高压尴尬情境下的情绪脱困与心理韧性。,,
emotion-scene:scene-42,emotion-scene,emotional,emotion_scene,演讲台上麦克风坏了发不出声音,识别重大公众表现受阻时的尴尬情绪，理解失去环境掌控感带来的恐慌与窘迫，学习公众危机公关意识与从容救场或求助策略。,,
emotion-scene:scene-43,emotion-scene,emotional,emotion_scene,认错人从背后拍了陌生人的肩膀,识别社交误认导致的尴尬情绪，理解打破陌生人边界后的社交局促，训练快速自然地表达歉意并礼貌退出尴尬情境的社交技能。,,
emotion-scene:scene-44,emotion-scene,emotional,emotion_scene,被过年走亲戚的阿姨夸奖可爱,识别获得长辈正向关注时的害羞情绪，理解喜悦伴随轻微退缩的复合心理表现，学习如何大方地接受赞美并进行基本礼貌互动。,,
emotion-scene:scene-45,emotion-scene,emotional,emotion_scene,第一天戴上红领巾被全班注视,识别初次获得荣誉成为焦点时的害羞情绪，理解自我意识萌发时的腼腆心态，鼓励特需儿童接纳来自群体的善意注视。,,
emotion-scene:scene-46,emotion-scene,emotional,emotion_scene,老师当众朗读自己的优秀作文,识别同伴面前受到公开表扬的害羞情绪，理解内心自豪与外表含蓄的内敛表达方式，培养恰当的同伴互动与自我肯定感。,,
emotion-scene:scene-47,emotion-scene,emotional,emotion_scene,收到同学亲手折的千纸鹤礼物,识别社交关系中收到同伴正向反馈的害羞情绪，理解同伴交往中的真诚善意，训练面对他人示好时的眼神接触与真诚道谢能力。,,
emotion-scene:scene-48,emotion-scene,emotional,emotion_scene,被全班同学围着唱生日快乐歌,识别高强度正向情感包围下的害羞情绪，理解成为集体唯一焦点时的局促与快乐交织，训练在群体祝福中安然自处并给予合宜回馈。,,
emotion-scene:scene-49,emotion-scene,emotional,emotion_scene,上台领取“三好学生”奖状,识别正式场合受到权威肯定时的腼腆与害羞情绪，理解不过度张扬的内敛喜悦，学习在公开仪式上保持得体大方的社交仪态。,,
emotion-scene:scene-5,emotion-scene,emotional,emotion_scene,图书馆戴耳机安静自习,识别公共环境中的高级平静状态，理解自我边界与专注力的维持，学习在复杂或有轻微干扰的环境中保持内在平和。,,
emotion-scene:scene-50,emotion-scene,emotional,emotion_scene,手里的玩具被一把抢走,识别个人物品受侵犯时的愤怒情绪，理解物权意识受损引发的冲突，训练儿童在面对社交冲突时使用言语抗议而非肢体还击。,,
emotion-scene:scene-51,emotion-scene,emotional,emotion_scene,辛苦画的画掉进了水坑里,识别努力成果被破坏后的伤心情绪，理解不可控意外带来的心理落差，训练儿童学习接纳遗憾，培养寻找安慰与重新开始的心理韧性。,,
emotion-scene:scene-52,emotion-scene,emotional,emotion_scene,突然冲出来狂吠的大狗,识别面对突发潜在威胁时的恐惧情绪，理解生理应激反应与安全边界意识，训练儿童在惊吓中保持冷静并寻求成年人庇护的自我保护能力。,,
emotion-scene:scene-53,emotion-scene,emotional,emotion_scene,在平地上突然绊倒被围观,识别在公共场合失误带来的尴尬情绪，理解他人目光与自尊心之间的敏感关联，训练儿童通过自我解嘲或关注任务本身来化解社交压力。,,
emotion-scene:scene-54,emotion-scene,emotional,emotion_scene,被不认识的亲戚热情夸奖,识别面对陌生社交关注时的害羞情绪，理解礼貌性社交场景中的正向反馈，训练儿童在不熟悉的人际交往中保持得体回应与适度社交距离。,,
emotion-scene:scene-55,emotion-scene,emotional,emotion_scene,大扫除被公开表扬负责任,识别因劳动付出获得集体认可时的自豪情绪，理解“责任心”这一抽象概念在行为上的具体表现，强化儿童对集体义务的内在归属感与积极性。,,
emotion-scene:scene-56,emotion-scene,emotional,emotion_scene,看牙医害怕机器的声音,识别特定医疗环境下的焦虑与恐惧情绪，理解感官刺激（听觉）引发的压力反应，训练儿童利用预见性心理准备与深呼吸等策略配合医疗指令。,,
emotion-scene:scene-57,emotion-scene,emotional,emotion_scene,自己学会了用筷子夹起花生米,识别掌握新生活技能时的自豪情绪，理解独立解决问题带来的自我成就感，鼓励特需儿童建立日常生活自理的自我效能感。,,
emotion-scene:scene-58,emotion-scene,emotional,emotion_scene,额头正中间被老师贴了“小红星”,识别获得外部明确表彰时的自豪情绪，理解遵守社会规则或表现良好带来的正向反馈，训练儿童将外部奖励转化为内在的积极行为动机。,,
emotion-scene:scene-59,emotion-scene,emotional,emotion_scene,戴上了班级“值日生”的红袖标,识别承担集体责任时的自豪情绪，理解被集体信任与赋权带来的社会荣誉感，培养儿童为集体服务的意识与同伴正向领导力。,,
emotion-scene:scene-6,emotion-scene,emotional,emotion_scene,吃着巨大的冰糖葫芦,识别品尝喜爱食物时的开心情绪，完成“获得美食-开心”的基础因果推理，训练对即时感官满足的正向情感表达。,,
emotion-scene:scene-60,emotion-scene,emotional,emotion_scene,独立拼好了一个极其复杂的乐高长城模型,识别完成长周期任务后的自豪情绪，理解长期专注力与意志力付出后取得成果的极致成就感，训练延迟满足与坚持到底的品格。,,
emotion-scene:scene-61,emotion-scene,emotional,emotion_scene,试卷上写着鲜红的“100分”,识别学业表现优异时的自豪情绪，理解努力付出与获得高评价的直接因果联系，学习合理分享喜悦，避免在同伴中表现出过度炫耀。,,
emotion-scene:scene-62,emotion-scene,emotional,emotion_scene,胸前挂着校运动会的金牌,识别竞技体育夺魁后的极致自豪情绪，理解公平竞争下脱颖而出的极高荣誉感，体验坚持拼搏精神所带来的强烈情感回报。,,
emotion-scene:scene-63,emotion-scene,emotional,emotion_scene,手里拿着红色的“录取通知书”,识别达成重大人生目标后的自豪情绪，理解长期坚持的系统性努力最终兑现时的深层骄傲，帮助确立长远的人生奋斗价值观与内在底气。,,
emotion-scene:scene-64,emotion-scene,emotional,emotion_scene,日记本被别人偷看,识别隐私边界受侵犯时的愤怒情绪，理解个人空间的重要性，训练儿童学习建立心理边界并用适当言辞表达对他人的行为约束。,,
emotion-scene:scene-65,emotion-scene,emotional,emotion_scene,最喜欢的冰淇淋掉地上了,识别突发失去喜好物时的难过情绪，理解不可抗力导致的得失，训练儿童在面对小挫折时的情绪平复能力与寻求替代方案的逻辑。,,
emotion-scene:scene-66,emotion-scene,emotional,emotion_scene,独立拼好了一千块的拼图,识别攻克高难度任务后的成就感，理解长期专注与耐心投入的价值，强化儿童在面对复杂挑战时的自我效能感与意志品质。,,
emotion-scene:scene-67,emotion-scene,emotional,emotion_scene,热情挥手发现对方在和别人打招呼,识别社交误判带来的尴尬情绪，理解社交场景中的多向互动关系，训练儿童通过调侃或自然转移注意力来化解社交冷场的心理韧性。,,
emotion-scene:scene-68,emotion-scene,emotional,emotion_scene,躲在妈妈身后不敢打招呼,识别面对社交压力时的羞怯情绪，理解陌生环境带来的感官防御，训练儿童尝试从观察者过渡到参与者，建立安全感基础上的适度社交尝试。,,
emotion-scene:scene-69,emotion-scene,emotional,emotion_scene,收到梦寐以求的小狗礼物,识别愿望达成时的快乐情绪，理解获得心愿礼物的正向奖赏，引导儿童将喜悦转化为对他人的感激，并初步建立对生命的责任意识。,,
emotion-scene:scene-7,emotion-scene,emotional,emotion_scene,小区草坪玩吹泡泡机,识别户外自由玩耍场景中的开心情绪，理解无竞争环境下的纯粹快乐，鼓励特需儿童体验并用表情和肢体动作分享积极情绪。,,
emotion-scene:scene-70,emotion-scene,emotional,emotion_scene,排队玩滑梯被强行插队,识别遭遇不公平对待时的愤怒情绪，理解社会秩序规则的公正性，训练儿童在冲突现场使用正确的社交语言维护个人权利。,,
